"sen.slope","sen.slope.pct","p.value","S","varS","miss","tau","nie_malla_modi_id"
0.727,0.73,0.6582,9,327,0,0.099,"1611120"
0.727,0.76,0.6582,9,327,0,0.099,"1611121"
0,0,0.91229,3,329.67,0,0.033,"1611122"
0.727,0.87,0.82546,5,329,0,0.055,"1611123"
0.667,0.61,0.82546,5,329,0,0.055,"1611124"
-1,-0.92,0.86935,-4,332.67,0,-0.044,"1611125"
1.143,1.11,0.70113,8,332.67,0,0.088,"1611126"
1.6,1.61,0.54523,12,330.67,0,0.132,"1611127"
0.727,0.75,0.78249,6,328,0,0.066,"1611128"
0,0,0.91229,-3,329.67,0,-0.033,"1611129"
2,2.25,0.29413,20,328,0,0.22,"1611130"
3.2,3.63,0.32102,19,329,0,0.209,"1611131"
5.333,5.32,0.20593,24,330.67,0,0.264,"1611132"
0,0,0.82169,-5,315,0,-0.055,"1611133"
0,0,0.82169,-5,315,0,-0.055,"1611134"
0,0,0.82169,-5,315,0,-0.055,"1611135"
1.429,1.48,0.61923,10,328,0,0.11,"1613509"
2.286,2.5,0.44067,15,329.67,0,0.165,"1613510"
0.5,0.62,0.57988,11,326.33,0,0.121,"1613511"
1,1.59,0.50695,13,327,0,0.143,"1613512"
1,1.59,0.50695,13,327,0,0.143,"1613513"
0.667,1.04,0.6178,10,325.33,0,0.11,"1613514"
2,2.76,0.16573,26,325.33,0,0.286,"1613515"
2,2.76,0.16573,26,325.33,0,0.286,"1613516"
1.143,1.48,0.43599,15,323,0,0.165,"1613517"
3,4.14,0.06086,35,329,0,0.385,"1613518"
4.417,4.97,0.02759,41,329.67,0,0.451,"1613519"
1.778,2.16,0.44067,15,329.67,0,0.165,"1613520"
0.167,0.19,0.86896,4,330.67,0,0.044,"1613521"
2.5,2.72,0.54644,12,332.67,0,0.132,"1613522"
2.5,2.68,0.50995,13,331.67,0,0.143,"1613523"
2,2.26,0.66046,9,331.67,0,0.099,"1613524"
2.143,2.34,0.54523,12,330.67,0,0.132,"1613525"
2.143,2.37,0.58294,11,331.67,0,0.121,"1613526"
1.778,1.95,0.66046,9,331.67,0,0.099,"1613527"
2.143,2.18,0.58294,11,331.67,0,0.121,"1613528"
1.6,1.62,0.58294,11,331.67,0,0.121,"1613529"
0,0,0.95614,2,330.67,0,0.022,"1613530"
3.556,3.78,0.22517,23,329,0,0.253,"1613531"
2.667,3.24,0.15049,27,327,0,0.297,"1613532"
0,0,0.95614,-2,330.67,0,-0.022,"1613533"
4.833,4.98,0.22704,23,331.67,0,0.253,"1613534"
0,0,0.69647,8,322,0,0.088,"1613535"
0,0,0.9099,-3,312.33,0,-0.033,"1613536"
0,0,0.82169,-5,315,0,-0.055,"1613537"
0,0,0.82169,-5,315,0,-0.055,"1613538"
1,1.05,0.69912,8,328,0,0.088,"1615910"
1,1.06,0.6178,10,325.33,0,0.11,"1615911"
4,5.28,0.0306,40,325.33,0,0.44,"1615912"
2.286,3.28,0.07679,33,327,0,0.363,"1615913"
1,1.56,0.47152,14,326,0,0.154,"1615914"
0.5,0.81,0.57871,11,324.33,0,0.121,"1615915"
0.667,1.04,0.6178,10,325.33,0,0.11,"1615916"
0.667,1.04,0.6178,10,325.33,0,0.11,"1615917"
1.333,1.85,0.26578,21,323,0,0.231,"1615918"
0.667,0.87,0.69795,8,325.33,0,0.088,"1615919"
2.143,2.58,0.29413,20,328,0,0.22,"1615920"
4.5,5.08,0.10932,30,328,0,0.33,"1615921"
4,4.95,0.27212,21,331.67,0,0.231,"1615922"
0.8,0.89,0.74106,7,329.67,0,0.077,"1615923"
0,0,0.91229,3,329.67,0,0.033,"1615924"
1.778,1.95,0.66046,9,331.67,0,0.099,"1615925"
2.143,2.41,0.6217,10,332.67,0,0.11,"1615926"
1.6,1.57,0.70113,8,332.67,0,0.088,"1615927"
2.9,3.32,0.44205,15,331.67,0,0.165,"1615928"
2.9,3.26,0.41085,16,332.67,0,0.176,"1615929"
0.5,0.56,0.78249,6,328,0,0.066,"1615930"
2.667,3.15,0.27019,21,329,0,0.231,"1615931"
2.667,3.09,0.27019,21,329,0,0.231,"1615932"
3.444,3.92,0.18756,25,331.67,0,0.275,"1615933"
3.556,4.28,0.0995,31,331.67,0,0.341,"1615934"
1.6,2.01,0.82615,5,331.67,0,0.055,"1615935"
3.625,4.09,0.20456,24,328.67,0,0.264,"1615936"
0.727,0.71,0.6582,9,327,0,0.099,"1615937"
0,0,0.95579,2,325.33,0,0.022,"1615938"
-0.8,-0.87,0.69824,-8,326,0,-0.088,"1615939"
0,0,0.91157,3,324.33,0,0.033,"1615940"
0,0,1,1,329.67,0,0.011,"1618310"
-1.909,-2.08,0.74106,-7,329.67,0,-0.077,"1618311"
0,0,1,-1,329,0,-0.011,"1618312"
1,1.09,0.91255,3,331.67,0,0.033,"1618313"
4,5.24,0.01758,44,328,0,0.484,"1618314"
1.143,1.67,0.29018,20,322.67,0,0.22,"1618315"
0,0,0.69676,8,322.67,0,0.088,"1618316"
0.5,0.81,0.57871,11,324.33,0,0.121,"1618317"
1.333,2.24,0.4032,16,322,0,0.176,"1618318"
1.333,2.21,0.4032,16,322,0,0.176,"1618319"
0,0,0.73849,7,323,0,0.077,"1618320"
1.167,1.46,0.43881,15,327,0,0.165,"1618321"
2.909,3.45,0.07559,33,324.33,0,0.363,"1618322"
4.5,5.08,0.10932,30,328,0,0.33,"1618323"
2.667,3.23,0.40801,16,328.67,0,0.176,"1618324"
