"nie_malla_modi_id","sen_slope_tempm08","sen_slope_per_tempm08","p_value_tempm08","tau_tempm08"
1671178,0.022,0.13,0.70113,0.088
1671179,0.021,0.12,0.70113,0.088
1671180,0.025,0.15,0.66142,0.099
1671181,0.025,0.14,0.66142,0.099
1671182,0.024,0.14,0.70113,0.088
1671183,0.025,0.15,0.58407,0.121
1671184,0.019,0.11,0.66142,0.099
1671185,0.031,0.17,0.74256,0.077
1671186,0.037,0.21,0.66142,0.099
1671187,0.034,0.19,0.66142,0.099
1671188,0.04,0.22,0.58407,0.121
1671189,0.036,0.19,0.51122,0.143
1671190,0.035,0.19,0.44342,0.165
1671191,0.041,0.22,0.51122,0.143
1671192,0.043,0.22,0.29754,0.22
1671193,0.05,0.27,0.29754,0.22
1671194,0.049,0.27,0.2073,0.264
1671195,0.056,0.29,0.17048,0.286
1671196,0.064,0.33,0.18889,0.275
1671197,0.054,0.27,0.12531,0.319
1671198,0.057,0.28,0.12531,0.319
1671199,0.059,0.29,0.12531,0.319
1671200,0.07,0.35,0.0798,0.363
1671201,0.07,0.35,0.0798,0.363
1671202,0.072,0.35,0.05499,0.396
1671203,0.06,0.29,0.15463,0.297
1671204,0.059,0.29,0.15463,0.297
1671205,0.059,0.29,0.15463,0.297
1671206,0.06,0.3,0.15463,0.297
1671207,0.05,0.26,0.2073,0.264
1671208,0.048,0.25,0.17048,0.286
1671209,0.049,0.26,0.17048,0.286
1671210,0.052,0.27,0.17048,0.286
1671211,0.056,0.28,0.18889,0.275
1671212,0.049,0.26,0.15463,0.297
1671213,0.045,0.25,0.24958,0.242
1671214,0.044,0.25,0.35131,0.198
1671215,0.048,0.26,0.44342,0.165
1671216,0.045,0.25,0.54644,0.132
1671217,0.045,0.25,0.58407,0.121
1671218,0.043,0.24,0.66142,0.099
1671219,0.05,0.27,0.66142,0.099
1671220,0.047,0.25,0.6217,0.11
1671221,0.047,0.25,0.66142,0.099
1671222,0.05,0.27,0.74256,0.077
1671223,0.033,0.18,0.74256,0.077
1671224,0.027,0.14,0.66142,0.099
1671225,0.023,0.12,0.66142,0.099
1671226,0.033,0.18,0.74256,0.077
1671227,0.037,0.19,0.62029,0.11
1671228,0.033,0.17,0.58407,0.121
1671229,0.033,0.17,0.58407,0.121
1671230,0.035,0.18,0.51122,0.143
1671231,0.02,0.1,0.74256,0.077
1671232,0.018,0.09,0.82667,0.055
1671233,0.016,0.08,0.86935,0.044
1671234,0.012,0.06,0.82667,0.055
1671235,0.018,0.09,0.78398,0.066
1671236,0.012,0.06,0.78398,0.066
1671237,0.008,0.04,0.91281,0.033
1671238,0.012,0.06,0.91281,0.033
