"nie_malla_modi_id","sen_slope_tempsp","sen_slope_per_tempsp","p_value_tempsp","tau_tempsp"
1671120,0.068,1.41,0.70113,0.088
1671121,0.066,1.42,0.74256,0.077
1671122,0.068,1.58,0.70113,0.088
1671123,0.074,1.9,0.66142,0.099
1671124,0.066,1.3,0.74256,0.077
1671125,0.065,1.08,0.70113,0.088
1671126,0.066,1.15,0.66142,0.099
1671127,0.068,1.11,0.66142,0.099
1671128,0.069,1.11,0.66142,0.099
1671129,0.072,1.25,0.66142,0.099
1671130,0.074,1.36,0.66142,0.099
1671131,0.077,1.52,0.6217,0.11
1671132,0.078,1.65,0.58407,0.121
1671133,0.08,1.76,0.58407,0.121
1671134,0.081,2.07,0.58407,0.121
1671135,0.088,2.48,0.58407,0.121
1671136,0.092,2.78,0.58407,0.121
1671137,0.092,2.88,0.58407,0.121
1671138,0.096,3.2,0.58407,0.121
1671139,0.092,4.24,0.66142,0.099
1671140,0.091,4.14,0.66142,0.099
1671141,0.093,2.94,0.66142,0.099
1671142,0.097,2.91,0.66142,0.099
1671143,0.093,2.21,0.66142,0.099
1671144,0.094,1.76,0.66142,0.099
1671145,0.094,2.12,0.66142,0.099
1671146,0.094,2.28,0.66142,0.099
1671147,0.095,2.46,0.66142,0.099
1671148,0.093,1.79,0.66142,0.099
1671149,0.094,1.52,0.66142,0.099
1671150,0.096,1.31,0.6217,0.11
1671151,0.098,1.25,0.58407,0.121
1671152,0.096,1.24,0.66142,0.099
1671153,0.097,1.58,0.66142,0.099
1671154,0.097,1.96,0.66142,0.099
1671155,0.097,2.46,0.66142,0.099
1671156,0.096,3.2,0.66142,0.099
1671157,0.083,3.95,0.6217,0.11
1671158,0.075,4.98,0.54644,0.132
1671159,0.073,4.4,0.58407,0.121
1671160,0.069,5.11,0.58407,0.121
1671161,0.08,5.16,0.66142,0.099
1671162,0.082,8.06,0.66142,0.099
1671163,0.118,137.41,0.58407,0.121
1671164,0.111,19.54,0.58407,0.121
1671165,0.107,10.45,0.58407,0.121
1671166,0.107,9.49,0.58407,0.121
1671167,0.103,260.91,0.58407,0.121
1671168,0.098,65.63,0.58407,0.121
1671169,0.103,12.41,0.58407,0.121
1671170,0.1,8.95,0.58407,0.121
1671171,0.094,7.64,0.58407,0.121
1671172,0.086,4.73,0.58407,0.121
1671173,0.095,3.82,0.58407,0.121
1671174,0.095,3.06,0.58407,0.121
1671175,0.1,2.61,0.58407,0.121
1671176,0.103,2.21,0.58407,0.121
1671177,0.101,1.99,0.58407,0.121
1671178,0.105,2.25,0.51122,0.143
1671179,0.106,2.03,0.51122,0.143
1671180,0.1,2.3,0.51122,0.143
1671181,0.105,2.32,0.51122,0.143
1671182,0.095,2.35,0.51122,0.143
1671183,0.105,2.57,0.51122,0.143
1671184,0.101,2.14,0.51122,0.143
1671185,0.115,2.23,0.51122,0.143
1671186,0.122,2.5,0.51122,0.143
1671187,0.128,2.79,0.51122,0.143
1671188,0.118,2.19,0.51122,0.143
1671189,0.112,2.07,0.44342,0.165
1671190,0.108,1.91,0.44342,0.165
1671191,0.098,1.59,0.44342,0.165
1671192,0.094,1.52,0.44342,0.165
1671193,0.106,2.12,0.44342,0.165
1671194,0.104,2.06,0.44342,0.165
1671195,0.096,1.72,0.44342,0.165
1671196,0.09,1.5,0.44342,0.165
1671197,0.105,1.61,0.41085,0.176
1671198,0.105,1.57,0.38107,0.187
1671199,0.105,1.52,0.38107,0.187
1671200,0.1,1.53,0.35131,0.198
1671201,0.101,1.59,0.38107,0.187
1671202,0.099,1.4,0.38107,0.187
1671203,0.107,1.4,0.51122,0.143
1671204,0.109,1.58,0.51122,0.143
1671205,0.11,1.54,0.51122,0.143
1671206,0.109,1.57,0.51122,0.143
1671207,0.115,2.08,0.44342,0.165
1671208,0.105,1.99,0.51122,0.143
1671209,0.11,2.11,0.58407,0.121
1671210,0.103,1.88,0.58407,0.121
1671211,0.1,1.62,0.54644,0.132
1671212,0.116,2.13,0.58407,0.121
1671213,0.132,2.83,0.51122,0.143
1671214,0.134,3.13,0.51122,0.143
1671215,0.134,2.81,0.51122,0.143
1671216,0.136,2.88,0.476,0.154
1671217,0.143,3.47,0.44342,0.165
1671218,0.133,2.97,0.44342,0.165
1671219,0.13,2.72,0.51122,0.143
1671220,0.136,2.69,0.51122,0.143
1671221,0.13,2.5,0.51122,0.143
1671222,0.132,2.57,0.51122,0.143
1671223,0.136,2.68,0.51122,0.143
1671224,0.128,2.41,0.51122,0.143
1671225,0.132,2.45,0.51122,0.143
1671226,0.138,2.91,0.51122,0.143
1671227,0.132,2.4,0.44342,0.165
1671228,0.132,2,0.44342,0.165
1671229,0.133,1.97,0.41085,0.176
1671230,0.135,2.07,0.38107,0.187
1671231,0.131,1.9,0.44342,0.165
1671232,0.133,1.74,0.44342,0.165
1671233,0.133,1.82,0.44342,0.165
1671234,0.122,1.78,0.44342,0.165
1671235,0.12,1.55,0.44342,0.165
1671236,0.112,1.54,0.44342,0.165
1671237,0.113,1.69,0.476,0.154
1671238,0.11,1.61,0.44342,0.165
1671239,0.098,1.22,0.44342,0.165
1671240,0.102,1.43,0.44342,0.165
1671241,0.082,1.04,0.44342,0.165
1671242,0.08,0.94,0.476,0.154
1671243,0.078,0.84,0.51122,0.143
1671244,0.077,0.78,0.51122,0.143
1671245,0.075,0.69,0.58407,0.121
1671246,0.075,0.69,0.58407,0.121
1671247,0.076,0.75,0.58407,0.121
1671248,0.074,0.67,0.58407,0.121
1671249,0.078,0.66,0.58407,0.121
1671250,0.083,0.69,0.58407,0.121
1671251,0.082,0.71,0.58407,0.121
1671252,0.082,0.73,0.58407,0.121
1671253,0.083,0.75,0.58407,0.121
1671254,0.087,0.82,0.58407,0.121
1671255,0.086,0.8,0.58407,0.121
1671256,0.086,0.82,0.58407,0.121
1671257,0.087,0.81,0.58407,0.121
1671258,0.084,0.79,0.58407,0.121
1671259,0.079,0.71,0.51122,0.143
1671260,0.079,0.71,0.51122,0.143
1671261,0.079,0.7,0.51122,0.143
1671262,0.09,0.79,0.44342,0.165
1671263,0.094,0.84,0.41085,0.176
1671264,0.102,0.89,0.38107,0.187
1671265,0.102,0.9,0.38107,0.187
1671266,0.096,0.81,0.38107,0.187
1671267,0.085,0.7,0.32442,0.209
1671268,0.11,0.86,0.27356,0.231
1671269,0.127,0.96,0.22844,0.253
1671270,0.117,0.94,0.32442,0.209
1671271,0.103,0.87,0.32442,0.209
1671272,0.107,0.9,0.32442,0.209
1671273,0.127,1.01,0.22844,0.253
1671274,0.128,0.97,0.24958,0.242
1671275,0.13,0.95,0.27356,0.231
1671276,0.148,1.04,0.27356,0.231
1671277,0.14,0.97,0.27356,0.231
1671278,0.15,1.05,0.27356,0.231
1671279,0.128,0.87,0.27356,0.231
1671280,0.14,0.97,0.27356,0.231
1671281,0.13,0.88,0.27356,0.231
1671282,0.127,0.82,0.32442,0.209
1673508,0.037,0.3,0.66142,0.099
1673509,0.041,0.37,0.66142,0.099
1673510,0.048,0.46,0.66142,0.099
1673511,0.048,0.47,0.66142,0.099
1673512,0.06,0.61,0.66142,0.099
1673513,0.056,0.6,0.66142,0.099
1673514,0.06,0.66,0.74256,0.077
1673515,0.066,0.74,0.66142,0.099
1673517,0.073,0.91,0.66142,0.099
1673518,0.073,1.04,0.74256,0.077
1673519,0.075,1.29,0.74256,0.077
1673520,0.075,1.59,0.70113,0.088
1673521,0.076,1.71,0.74256,0.077
1673522,0.075,1.67,0.74256,0.077
1673523,0.07,1.61,0.66142,0.099
1673524,0.069,1.53,0.74256,0.077
1673525,0.068,1.68,0.74256,0.077
1673526,0.068,1.36,0.74256,0.077
1673527,0.067,1.14,0.66142,0.099
1673528,0.068,1.15,0.66142,0.099
1673529,0.071,1.48,0.66142,0.099
1673530,0.073,1.26,0.66142,0.099
1673531,0.071,1.14,0.66142,0.099
1673532,0.076,1.21,0.6217,0.11
1673533,0.078,1.34,0.58407,0.121
1673534,0.08,1.44,0.58407,0.121
1673535,0.083,1.71,0.58407,0.121
1673536,0.087,1.98,0.58407,0.121
1673537,0.09,1.99,0.6217,0.11
1673538,0.092,2.14,0.66142,0.099
1673539,0.087,2.17,0.66142,0.099
1673540,0.09,2.74,0.66142,0.099
1673541,0.095,3.63,0.66142,0.099
1673542,0.095,4.2,0.66142,0.099
1673543,0.097,4.18,0.66142,0.099
1673544,0.097,3.53,0.66142,0.099
1673545,0.098,2.77,0.66142,0.099
1673546,0.104,1.95,0.66142,0.099
1673547,0.096,2.1,0.66142,0.099
1673548,0.093,2.41,0.66142,0.099
1673549,0.094,2.58,0.66142,0.099
1673550,0.098,1.99,0.66142,0.099
1673551,0.093,1.55,0.66142,0.099
1673552,0.096,1.23,0.51122,0.143
1673553,0.095,1.43,0.66142,0.099
1673554,0.097,1.31,0.66142,0.099
1673555,0.097,1.42,0.66142,0.099
1673556,0.096,1.6,0.66142,0.099
1673557,0.097,2.1,0.66142,0.099
1673558,0.096,3,0.66142,0.099
1673559,0.09,4.72,0.44342,0.165
1673560,0.077,8.57,0.51122,0.143
1673561,0.075,18.32,0.51122,0.143
1673562,0.074,25.27,0.58407,0.121
1673563,0.084,63.98,0.66142,0.099
1673564,0.081,14.12,0.66142,0.099
1673565,0.095,24.95,0.58407,0.121
1673566,0.095,23.29,0.58407,0.121
1673567,0.088,8.89,0.58407,0.121
1673568,0.102,7.9,0.58407,0.121
1673569,0.073,77.72,0.58407,0.121
1673570,0.075,21.6,0.58407,0.121
1673571,0.072,23.71,0.58407,0.121
1673572,0.078,5.73,0.58407,0.121
1673573,0.068,3.9,0.58407,0.121
1673574,0.067,4.22,0.58407,0.121
1673575,0.07,4.41,0.58407,0.121
1673576,0.07,2.76,0.58407,0.121
1673577,0.065,1.9,0.58407,0.121
1673578,0.067,1.81,0.58407,0.121
1673579,0.065,1.54,0.58407,0.121
1673580,0.07,1.64,0.51122,0.143
1673581,0.073,1.64,0.51122,0.143
1673582,0.083,2.14,0.51122,0.143
1673583,0.082,2.27,0.51122,0.143
1673584,0.073,2.1,0.51122,0.143
1673585,0.07,1.84,0.51122,0.143
1673586,0.085,1.99,0.51122,0.143
1673587,0.097,2.29,0.51122,0.143
1673588,0.113,2.76,0.51122,0.143
1673589,0.123,2.98,0.51122,0.143
1673590,0.128,2.77,0.51122,0.143
1673591,0.13,2.74,0.44342,0.165
1673592,0.124,2.52,0.44342,0.165
1673593,0.116,2.21,0.44342,0.165
1673594,0.106,1.87,0.44342,0.165
1673595,0.112,2.32,0.44342,0.165
1673596,0.116,2.66,0.44342,0.165
1673597,0.106,2.22,0.44342,0.165
1673598,0.106,2.19,0.44342,0.165
1673599,0.106,2,0.58407,0.121
1673600,0.106,1.84,0.54644,0.132
1673601,0.105,1.74,0.51122,0.143
1673602,0.105,1.73,0.44342,0.165
1673603,0.108,1.89,0.44342,0.165
1673604,0.102,1.57,0.51122,0.143
1673605,0.101,1.56,0.51122,0.143
1673606,0.105,1.71,0.51122,0.143
1673607,0.108,1.84,0.51122,0.143
1673608,0.107,1.79,0.51122,0.143
1673609,0.11,2.04,0.51122,0.143
1673610,0.116,2.55,0.58407,0.121
1673611,0.117,2.5,0.58407,0.121
1673612,0.104,1.92,0.58407,0.121
1673613,0.103,1.65,0.51122,0.143
1673614,0.1,1.77,0.58407,0.121
1673615,0.128,2.52,0.51122,0.143
1673616,0.14,3.35,0.51122,0.143
1673617,0.138,3.43,0.51122,0.143
1673618,0.14,3.58,0.44342,0.165
1673619,0.14,4.01,0.44342,0.165
1673620,0.143,3.88,0.44342,0.165
1673621,0.132,2.96,0.51122,0.143
1673622,0.14,3.3,0.51122,0.143
1673623,0.142,3.25,0.51122,0.143
1673624,0.144,3.32,0.51122,0.143
1673625,0.142,3.11,0.51122,0.143
1673626,0.138,2.97,0.51122,0.143
1673627,0.14,3.07,0.51122,0.143
1673628,0.14,3.14,0.51122,0.143
1673629,0.132,2.56,0.51122,0.143
1673630,0.129,2.23,0.44342,0.165
1673631,0.132,2.14,0.44342,0.165
1673632,0.135,2.27,0.44342,0.165
1673633,0.139,2.1,0.38107,0.187
1673634,0.143,1.95,0.38107,0.187
1673635,0.14,2.09,0.32442,0.209
1673636,0.124,1.88,0.51122,0.143
1673637,0.121,1.7,0.44342,0.165
1673638,0.114,1.58,0.44342,0.165
1673639,0.115,1.8,0.44342,0.165
1673640,0.111,1.63,0.476,0.154
1673641,0.107,1.46,0.44342,0.165
1673642,0.107,1.57,0.44342,0.165
1673643,0.1,1.35,0.44342,0.165
1673644,0.077,0.86,0.44342,0.165
1673645,0.077,0.8,0.51122,0.143
1673646,0.076,0.74,0.51122,0.143
1673647,0.076,0.77,0.51122,0.143
1673648,0.076,0.79,0.51122,0.143
1673649,0.076,0.76,0.51122,0.143
1673650,0.075,0.68,0.58407,0.121
1673651,0.073,0.67,0.58407,0.121
1673652,0.074,0.66,0.58407,0.121
1673653,0.078,0.69,0.58407,0.121
1673654,0.074,0.71,0.58407,0.121
1673655,0.084,0.81,0.58407,0.121
1673656,0.082,0.83,0.58407,0.121
1673657,0.08,0.81,0.58407,0.121
1673658,0.075,0.79,0.58407,0.121
1673659,0.078,0.81,0.58407,0.121
1673660,0.086,0.84,0.51122,0.143
1673661,0.084,0.81,0.51122,0.143
1673662,0.08,0.73,0.51122,0.143
1673663,0.081,0.73,0.476,0.154
1673664,0.088,0.77,0.44342,0.165
1673665,0.1,0.87,0.38107,0.187
1673666,0.1,0.84,0.38107,0.187
1673667,0.096,0.82,0.38107,0.187
1673668,0.084,0.69,0.35131,0.198
1673669,0.093,0.76,0.32442,0.209
1673670,0.107,0.84,0.29754,0.22
1673671,0.127,0.95,0.22844,0.253
1673672,0.117,0.92,0.32442,0.209
1673673,0.113,0.92,0.32442,0.209
1673674,0.107,0.9,0.32442,0.209
1673675,0.12,0.98,0.32442,0.209
1673676,0.132,1.03,0.22844,0.253
1673677,0.132,1.01,0.22844,0.253
1673678,0.132,0.96,0.24958,0.242
1673679,0.15,1.04,0.27356,0.231
1673680,0.127,0.91,0.24958,0.242
1673681,0.133,0.96,0.24958,0.242
1673682,0.142,0.99,0.24958,0.242
1673683,0.144,1,0.22844,0.253
1673684,0.13,0.86,0.29754,0.22
1673685,0.133,0.88,0.27356,0.231
1675910,0.054,0.44,0.58407,0.121
1675911,0.065,0.53,0.58407,0.121
1675912,0.046,0.43,0.66142,0.099
1675913,0.052,0.52,0.66142,0.099
1675914,0.056,0.58,0.66142,0.099
1675915,0.062,0.67,0.74256,0.077
1675916,0.066,0.73,0.74256,0.077
1675917,0.068,0.77,0.70113,0.088
1675919,0.064,0.72,0.66142,0.099
1675920,0.071,0.97,0.74256,0.077
1675921,0.073,1.25,0.74256,0.077
1675922,0.075,1.46,0.74256,0.077
1675923,0.074,1.5,0.74256,0.077
1675924,0.074,1.76,0.58407,0.121
1675925,0.075,1.75,0.58407,0.121
1675926,0.074,1.64,0.58407,0.121
1675927,0.074,1.91,0.6217,0.11
1675928,0.071,1.55,0.74256,0.077
1675929,0.07,1.19,0.66142,0.099
1675930,0.073,1.45,0.66142,0.099
1675931,0.074,1.61,0.66142,0.099
1675932,0.074,1.46,0.66142,0.099
1675933,0.077,1.4,0.58407,0.121
1675934,0.079,1.39,0.58407,0.121
1675935,0.081,1.52,0.58407,0.121
1675936,0.082,1.49,0.6217,0.11
1675937,0.085,1.44,0.66142,0.099
1675938,0.088,1.55,0.66142,0.099
1675939,0.091,1.68,0.66142,0.099
1675940,0.087,1.64,0.66142,0.099
1675941,0.09,1.96,0.66142,0.099
1675942,0.093,2.36,0.66142,0.099
1675943,0.095,2.62,0.66142,0.099
1675944,0.097,3.47,0.66142,0.099
1675945,0.097,4,0.66142,0.099
1675946,0.099,4.37,0.66142,0.099
1675947,0.097,2.76,0.66142,0.099
1675948,0.102,2.27,0.66142,0.099
1675949,0.098,2.34,0.66142,0.099
1675950,0.097,2.81,0.66142,0.099
1675951,0.097,3.21,0.66142,0.099
1675952,0.096,2.08,0.66142,0.099
1675953,0.105,1.7,0.66142,0.099
1675954,0.092,1.34,0.51122,0.143
1675955,0.095,1.73,0.66142,0.099
1675956,0.095,1.37,0.66142,0.099
1675957,0.097,1.38,0.66142,0.099
1675958,0.098,1.85,0.66142,0.099
1675959,0.1,2.41,0.66142,0.099
1675960,0.097,3.21,0.66142,0.099
1675961,0.1,4.58,0.58407,0.121
1675962,0.077,8.52,0.51122,0.143
1675963,0.076,15.95,0.51122,0.143
1675964,0.075,46.05,0.51122,0.143
1675965,0.071,15.56,0.58407,0.121
1675966,0.098,56.33,0.58407,0.121
1675967,0.098,17.41,0.58407,0.121
1675968,0.098,10.52,0.58407,0.121
1675969,0.093,5.87,0.58407,0.121
1675970,0.099,9.78,0.54644,0.132
1675971,0.092,44.22,0.6217,0.11
1675972,0.089,70.31,0.6217,0.11
1675973,0.08,10.74,0.58407,0.121
1675974,0.078,7.33,0.6217,0.11
1675975,0.075,3.65,0.58407,0.121
1675976,0.083,4.32,0.6217,0.11
1675977,0.088,7.46,0.66142,0.099
1675978,0.083,4.22,0.66142,0.099
1675979,0.08,3.2,0.66142,0.099
1675980,0.065,2.23,0.66142,0.099
1675981,0.064,1.92,0.66142,0.099
1675982,0.056,1.66,0.58407,0.121
1675983,0.057,1.65,0.6217,0.11
1675984,0.055,1.67,0.54644,0.132
1675985,0.057,1.93,0.58407,0.121
1675986,0.057,2.1,0.51122,0.143
1675987,0.056,1.65,0.44342,0.165
1675988,0.06,1.75,0.51122,0.143
1675989,0.1,2.9,0.54644,0.132
1675990,0.093,2.87,0.58407,0.121
1675991,0.097,2.85,0.51122,0.143
1675992,0.115,3.02,0.51122,0.143
1675993,0.122,3.06,0.51122,0.143
1675994,0.12,3.08,0.44342,0.165
1675995,0.12,3.03,0.44342,0.165
1675996,0.127,2.98,0.44342,0.165
1675997,0.123,3.16,0.44342,0.165
1675998,0.114,3.42,0.44342,0.165
1675999,0.117,3.23,0.44342,0.165
1676000,0.106,2.41,0.58407,0.121
1676001,0.108,2.2,0.58407,0.121
1676002,0.11,2.39,0.58407,0.121
1676003,0.109,2.44,0.58407,0.121
1676004,0.102,2.12,0.476,0.154
1676005,0.102,1.97,0.44342,0.165
1676006,0.102,1.91,0.51122,0.143
1676007,0.106,2.12,0.50995,0.143
1676008,0.11,2.23,0.58407,0.121
1676009,0.109,2.26,0.58407,0.121
1676010,0.109,2.28,0.58407,0.121
1676011,0.107,2.35,0.58407,0.121
1676012,0.106,2.18,0.58407,0.121
1676013,0.106,2.18,0.58407,0.121
1676014,0.107,2.15,0.58407,0.121
1676015,0.102,1.74,0.58407,0.121
1676016,0.104,1.66,0.58407,0.121
1676017,0.124,2.34,0.51122,0.143
1676018,0.139,3.43,0.51122,0.143
1676019,0.138,4.37,0.51122,0.143
1676020,0.137,4.57,0.44342,0.165
1676021,0.14,4.99,0.44342,0.165
1676022,0.15,4.84,0.476,0.154
1676023,0.143,4.1,0.51122,0.143
1676024,0.145,4.14,0.51122,0.143
1676025,0.154,4.35,0.51122,0.143
1676026,0.148,3.93,0.51122,0.143
1676027,0.15,4.14,0.58407,0.121
1676028,0.154,4.42,0.58407,0.121
1676029,0.152,4.27,0.58407,0.121
1676030,0.152,4.13,0.58407,0.121
1676031,0.146,3.6,0.51122,0.143
1676032,0.142,3.1,0.51122,0.143
1676033,0.134,2.54,0.44342,0.165
1676034,0.14,2.72,0.44342,0.165
1676035,0.139,2.34,0.38107,0.187
1676036,0.133,2.05,0.38107,0.187
1676037,0.149,2.6,0.32442,0.209
1676038,0.152,2.54,0.32442,0.209
1676039,0.156,2.5,0.32442,0.209
1676040,0.125,1.88,0.50995,0.143
1676041,0.14,2.3,0.51122,0.143
1676042,0.13,2.01,0.51122,0.143
1676043,0.13,2.04,0.51122,0.143
1676044,0.12,1.9,0.476,0.154
1676045,0.108,1.48,0.44342,0.165
1676046,0.077,0.85,0.41085,0.176
1676047,0.07,0.77,0.44342,0.165
1676048,0.077,0.84,0.44342,0.165
1676049,0.079,0.93,0.476,0.154
1676050,0.076,0.86,0.44342,0.165
1676051,0.075,0.74,0.51122,0.143
1676052,0.074,0.73,0.51122,0.143
1676053,0.075,0.81,0.51122,0.143
1676054,0.075,0.71,0.51122,0.143
1676055,0.074,0.66,0.58407,0.121
1676056,0.074,0.72,0.54644,0.132
1676057,0.073,0.75,0.58407,0.121
1676058,0.077,0.84,0.58407,0.121
1676059,0.076,0.85,0.58407,0.121
1676060,0.079,0.9,0.58407,0.121
1676061,0.079,0.87,0.58407,0.121
1676062,0.081,0.85,0.58407,0.121
1676063,0.083,0.8,0.51122,0.143
1676064,0.081,0.79,0.51122,0.143
1676065,0.082,0.76,0.51122,0.143
1676066,0.094,0.82,0.38107,0.187
1676067,0.1,0.85,0.38107,0.187
1676068,0.097,0.8,0.38107,0.187
1676069,0.085,0.69,0.38107,0.187
1676070,0.083,0.67,0.32442,0.209
1676071,0.1,0.79,0.27356,0.231
1676072,0.113,0.88,0.29754,0.22
1676073,0.123,0.94,0.22844,0.253
1676074,0.12,0.92,0.24958,0.242
1676075,0.117,0.94,0.32442,0.209
1676076,0.113,0.94,0.32442,0.209
1676077,0.11,0.92,0.32442,0.209
1676078,0.117,0.94,0.32442,0.209
1676079,0.132,1.01,0.22844,0.253
1676080,0.132,0.98,0.22844,0.253
1676081,0.132,0.97,0.22844,0.253
1676082,0.134,1,0.22844,0.253
1676083,0.133,1,0.22844,0.253
1676084,0.135,0.95,0.22844,0.253
1676085,0.138,0.96,0.22844,0.253
1676086,0.133,0.9,0.22844,0.253
1676087,0.14,0.95,0.24958,0.242
1676088,0.138,0.89,0.27356,0.231
1678314,0.078,0.65,0.58407,0.121
1678315,0.077,0.67,0.58407,0.121
1678316,0.058,0.6,0.74256,0.077
1678317,0.064,0.69,0.74256,0.077
1678318,0.072,0.81,0.74256,0.077
1678319,0.07,0.8,0.6217,0.11
1678322,0.072,0.95,0.74256,0.077
1678323,0.071,1.15,0.74256,0.077
1678324,0.075,1.38,0.58407,0.121
1678325,0.075,1.45,0.58407,0.121
1678326,0.074,1.65,0.58407,0.121
1678327,0.075,1.78,0.58407,0.121
1678328,0.076,1.65,0.58407,0.121
1678329,0.076,1.63,0.58407,0.121
1678330,0.075,1.46,0.66142,0.099
1678331,0.074,1.36,0.66142,0.099
1678332,0.075,1.49,0.66142,0.099
1678333,0.077,1.95,0.58407,0.121
1678334,0.078,1.8,0.58407,0.121
1678335,0.08,1.65,0.58407,0.121
1678336,0.082,1.66,0.58407,0.121
1678337,0.082,1.76,0.58407,0.121
1678338,0.085,1.66,0.66142,0.099
1678339,0.078,1.65,0.58407,0.121
1678340,0.08,1.64,0.66142,0.099
1678341,0.083,1.67,0.66142,0.099
1678342,0.089,1.9,0.66142,0.099
1678343,0.092,2.08,0.66142,0.099
1678344,0.094,2.04,0.66142,0.099
1678345,0.095,2.33,0.66142,0.099
1678346,0.099,2.74,0.66142,0.099
1678347,0.096,2.81,0.66142,0.099
1678348,0.1,3.87,0.66142,0.099
1678349,0.1,3.44,0.66142,0.099
1678350,0.101,2.67,0.66142,0.099
1678351,0.101,3.03,0.66142,0.099
1678352,0.101,3.55,0.66142,0.099
1678353,0.098,2.95,0.66142,0.099
1678354,0.098,2.13,0.66142,0.099
1678355,0.105,1.6,0.6217,0.11
1678356,0.104,1.79,0.66142,0.099
1678357,0.092,1.94,0.66142,0.099
1678358,0.093,1.57,0.66142,0.099
1678359,0.095,1.29,0.66142,0.099
1678360,0.096,1.44,0.66142,0.099
1678361,0.097,2.04,0.66142,0.099
1678362,0.098,2.48,0.66142,0.099
1678363,0.098,3.88,0.58407,0.121
1678364,0.087,4.36,0.51122,0.143
1678365,0.077,5.79,0.51122,0.143
1678366,0.076,13.02,0.51122,0.143
1678367,0.072,16.97,0.54644,0.132
1678368,0.093,14.04,0.58407,0.121
1678369,0.097,7.26,0.58407,0.121
1678370,0.095,4.82,0.58407,0.121
1678371,0.094,4.26,0.58407,0.121
1678372,0.089,9.31,0.58407,0.121
1678373,0.082,140.38,0.66142,0.099
1678374,0.07,54.44,0.66142,0.099
1678375,0.067,8.36,0.74256,0.077
1678376,0.066,4.04,0.74256,0.077
1678377,0.065,3.24,0.66142,0.099
1678378,0.065,3.11,0.70113,0.088
1678379,0.063,4.87,0.74256,0.077
1678380,0.065,4.46,0.74256,0.077
1678381,0.062,4.49,0.74256,0.077
1678382,0.062,3.96,0.74256,0.077
1678383,0.061,3.15,0.74256,0.077
1678384,0.062,3.09,0.82667,0.055
1678385,0.065,3.32,0.74256,0.077
1678386,0.062,3.49,0.74256,0.077
1678387,0.056,3.01,0.82667,0.055
1678388,0.055,2.85,0.74256,0.077
1678389,0.057,2.52,0.6217,0.11
1678390,0.055,2.24,0.58407,0.121
1678391,0.073,2.75,0.58407,0.121
1678392,0.07,3.07,0.58407,0.121
1678393,0.083,3.26,0.51122,0.143
1678394,0.087,3.04,0.58407,0.121
1678395,0.1,3.2,0.51122,0.143
1678396,0.115,3.5,0.51122,0.143
1678397,0.128,4.14,0.44342,0.165
1678398,0.129,4.53,0.44342,0.165
1678399,0.124,4.22,0.44342,0.165
1678400,0.079,3.19,0.51122,0.143
1678401,0.074,2.28,0.58407,0.121
1678402,0.098,2.35,0.58407,0.121
1678403,0.1,1.97,0.66142,0.099
1678404,0.108,2.16,0.58407,0.121
1678405,0.109,2.47,0.58407,0.121
1678406,0.102,2.73,0.51122,0.143
1678407,0.11,2.82,0.51122,0.143
1678408,0.11,2.8,0.51122,0.143
1678409,0.112,2.73,0.54644,0.132
1678410,0.113,2.91,0.58407,0.121
1678411,0.111,3.05,0.51122,0.143
1678412,0.111,2.99,0.58407,0.121
1678413,0.108,2.49,0.58407,0.121
1678414,0.105,1.93,0.58407,0.121
1678415,0.093,1.58,0.58407,0.121
1678416,0.096,1.64,0.58407,0.121
1678417,0.097,1.64,0.58407,0.121
1678418,0.1,1.59,0.54644,0.132
1678419,0.128,2.41,0.51122,0.143
1678420,0.136,3.03,0.51122,0.143
1678421,0.136,4.3,0.51122,0.143
1678422,0.134,5.72,0.44342,0.165
1678423,0.133,5.47,0.44342,0.165
1678424,0.14,5.46,0.44342,0.165
1678425,0.143,5.35,0.51122,0.143
1678426,0.16,5.59,0.58407,0.121
1678427,0.156,4.71,0.51122,0.143
1678428,0.152,3.81,0.51122,0.143
1678429,0.15,4.11,0.58407,0.121
1678430,0.152,4.26,0.58407,0.121
1678431,0.152,4.31,0.58407,0.121
1678432,0.148,4.16,0.58407,0.121
1678433,0.148,3.95,0.51122,0.143
1678434,0.154,4.18,0.51122,0.143
1678435,0.152,3.79,0.44342,0.165
1678436,0.15,3.68,0.44342,0.165
1678437,0.152,3.19,0.44342,0.165
1678438,0.147,2.8,0.32442,0.209
1678439,0.15,2.89,0.32442,0.209
1678440,0.155,3.11,0.32442,0.209
1678441,0.159,3.05,0.32442,0.209
1678442,0.159,2.84,0.32442,0.209
1678443,0.162,3.53,0.32442,0.209
1678444,0.162,2.97,0.32442,0.209
1678445,0.145,2.81,0.51122,0.143
1678446,0.143,2.33,0.51122,0.143
1678447,0.107,1.42,0.44342,0.165
1678448,0.084,1.01,0.476,0.154
1678449,0.081,0.97,0.44342,0.165
1678450,0.078,0.92,0.44342,0.165
1678451,0.079,0.99,0.44342,0.165
1678452,0.078,0.86,0.44342,0.165
1678453,0.075,0.8,0.476,0.154
1678454,0.078,0.87,0.44342,0.165
1678455,0.077,0.9,0.44342,0.165
1678456,0.075,0.78,0.51122,0.143
1678457,0.075,0.8,0.51122,0.143
1678458,0.074,0.77,0.51122,0.143
1678459,0.075,0.83,0.51122,0.143
1678460,0.078,0.89,0.58407,0.121
1678461,0.079,0.96,0.58407,0.121
1678462,0.08,0.96,0.58407,0.121
