"nie_malla_modi_id","basin_code","basin_name"
1680807,3,"Adra"
1680809,3,"Adra"
1680812,3,"Adra"
1680815,3,"Adra"
1680817,3,"Adra"
1680820,3,"Adra"
1680822,3,"Adra"
1680825,3,"Adra"
1680827,3,"Adra"
1680830,3,"Adra"
1680832,3,"Adra"
1680835,3,"Adra"
1680837,3,"Adra"
1680840,4,"Andarax"
1680843,4,"Andarax"
1680845,4,"Andarax"
1680848,4,"Andarax"
1680850,4,"Andarax"
1680853,4,"Andarax"
1680855,4,"Andarax"
1680858,4,"Andarax"
1680860,4,"Andarax"
1680863,4,"Andarax"
1680866,4,"Andarax"
1680868,4,"Andarax"
1680871,4,"Andarax"
1680873,4,"Andarax"
1680876,4,"Andarax"
1680878,4,"Andarax"
1680881,4,"Andarax"
1680883,4,"Andarax"
1680886,4,"Andarax"
1680888,4,"Andarax"
1680891,4,"Andarax"
1683119,1,"Genil"
1683121,1,"Genil"
1683127,1,"Genil"
1683129,1,"Genil"
1683132,1,"Genil"
1683134,1,"Genil"
1683137,1,"Genil"
1683139,1,"Genil"
1683142,1,"Genil"
1683144,1,"Genil"
1683147,1,"Genil"
1683150,1,"Genil"
1683155,1,"Genil"
1683157,1,"Genil"
1683160,1,"Genil"
1683162,1,"Genil"
1683165,1,"Genil"
1683168,1,"Genil"
1683170,1,"Genil"
1683173,2,"Guadalfeo"
1683175,2,"Guadalfeo"
1683178,2,"Guadalfeo"
1683180,2,"Guadalfeo"
1683183,2,"Guadalfeo"
1683185,2,"Guadalfeo"
1683188,2,"Guadalfeo"
1683190,2,"Guadalfeo"
1683193,2,"Guadalfeo"
1683196,3,"Adra"
1683198,3,"Adra"
1683201,3,"Adra"
1683203,3,"Adra"
1683206,3,"Adra"
1683208,3,"Adra"
1683211,3,"Adra"
1683213,3,"Adra"
1683216,3,"Adra"
1683219,3,"Adra"
1683221,3,"Adra"
1683224,3,"Adra"
1683226,3,"Adra"
1683229,3,"Adra"
1683231,3,"Adra"
1683234,3,"Adra"
1683236,3,"Adra"
1683239,3,"Adra"
1683241,4,"Andarax"
1683244,4,"Andarax"
1683247,4,"Andarax"
1683252,4,"Andarax"
1683254,4,"Andarax"
1683257,4,"Andarax"
