"nie_malla_modi_id","sen_slope_temp","sen_slope_per_temp","p_value_temp","tau_temp"
1611119,0.053,0.39,0.15463,0.297
1611120,0.052,0.39,0.15463,0.297
1611121,0.052,0.38,0.15463,0.297
1611122,0.049,0.38,0.15339,0.297
1611123,0.049,0.37,0.18889,0.275
1611124,0.049,0.37,0.18889,0.275
1611125,0.048,0.35,0.18889,0.275
1611126,0.048,0.36,0.15463,0.297
1611127,0.044,0.35,0.15463,0.297
1611128,0.04,0.33,0.2073,0.264
1611129,0.041,0.34,0.2073,0.264
1611130,0.04,0.32,0.22844,0.253
1611131,0.038,0.3,0.22844,0.253
1611132,0.033,0.25,0.22844,0.253
1611133,0.032,0.24,0.22844,0.253
1611134,0.032,0.24,0.24958,0.242
1611135,0.03,0.22,0.27356,0.231
1613509,0.043,0.38,0.15463,0.297
1613510,0.041,0.38,0.15463,0.297
1613511,0.045,0.42,0.15463,0.297
1613512,0.045,0.41,0.15463,0.297
1613513,0.045,0.43,0.17048,0.286
1613514,0.045,0.42,0.15463,0.297
1613515,0.048,0.43,0.15463,0.297
1613516,0.047,0.43,0.15463,0.297
1613517,0.05,0.42,0.12531,0.319
1613518,0.05,0.41,0.12531,0.319
1613519,0.05,0.39,0.13878,0.308
1613520,0.054,0.39,0.15463,0.297
1613521,0.054,0.39,0.15463,0.297
1613522,0.053,0.39,0.15463,0.297
1613523,0.051,0.39,0.15463,0.297
1613524,0.048,0.38,0.12531,0.319
1613525,0.048,0.37,0.18889,0.275
1613526,0.048,0.37,0.15463,0.297
1613527,0.047,0.36,0.18889,0.275
1613528,0.045,0.35,0.15463,0.297
1613529,0.044,0.35,0.15463,0.297
1613530,0.04,0.34,0.2073,0.264
1613531,0.037,0.32,0.22844,0.253
1613532,0.039,0.33,0.22844,0.253
1613533,0.033,0.26,0.22844,0.253
1613534,0.03,0.24,0.22844,0.253
1613535,0.031,0.23,0.24958,0.242
1613536,0.03,0.22,0.24958,0.242
1613537,0.032,0.24,0.24768,0.242
1613538,0.029,0.22,0.24958,0.242
1615910,0.042,0.38,0.18889,0.275
1615911,0.042,0.39,0.15463,0.297
1615912,0.043,0.41,0.15463,0.297
1615913,0.042,0.41,0.15463,0.297
1615914,0.042,0.41,0.15463,0.297
1615915,0.048,0.47,0.18889,0.275
1615916,0.045,0.45,0.18889,0.275
1615917,0.045,0.43,0.15463,0.297
1615918,0.048,0.44,0.15463,0.297
1615919,0.047,0.41,0.12531,0.319
1615920,0.049,0.39,0.12531,0.319
1615921,0.052,0.39,0.15463,0.297
1615922,0.053,0.4,0.15463,0.297
1615923,0.053,0.4,0.15463,0.297
1615924,0.051,0.39,0.15463,0.297
1615925,0.051,0.38,0.15463,0.297
1615926,0.049,0.39,0.12531,0.319
1615927,0.05,0.4,0.15463,0.297
1615928,0.048,0.37,0.15463,0.297
1615929,0.045,0.35,0.15463,0.297
1615930,0.046,0.36,0.15463,0.297
1615931,0.041,0.34,0.15463,0.297
1615932,0.04,0.34,0.2073,0.264
1615933,0.037,0.33,0.24958,0.242
1615934,0.038,0.32,0.24958,0.242
1615935,0.035,0.29,0.27212,0.231
1615936,0.03,0.24,0.24958,0.242
1615937,0.029,0.22,0.27356,0.231
1615938,0.032,0.24,0.24768,0.242
1615939,0.031,0.24,0.24958,0.242
1615940,0.028,0.22,0.24958,0.242
1618310,0.046,0.39,0.17048,0.286
1618311,0.045,0.39,0.17048,0.286
1618312,0.043,0.37,0.15339,0.297
1618313,0.042,0.37,0.13878,0.308
1618314,0.045,0.41,0.17048,0.286
1618315,0.042,0.41,0.15463,0.297
1618316,0.047,0.47,0.17048,0.286
1618317,0.043,0.44,0.18889,0.275
1618318,0.042,0.43,0.18889,0.275
1618319,0.047,0.47,0.2073,0.264
1618320,0.045,0.42,0.15463,0.297
1618321,0.048,0.41,0.12531,0.319
1618322,0.049,0.38,0.13878,0.308
1618323,0.049,0.4,0.13878,0.308
1618324,0.053,0.4,0.17048,0.286
1618325,0.052,0.4,0.17048,0.286
1618326,0.049,0.39,0.13878,0.308
1618327,0.049,0.39,0.12531,0.319
1618328,0.049,0.39,0.12531,0.319
1618329,0.045,0.37,0.15463,0.297
1618330,0.047,0.39,0.15463,0.297
1618331,0.045,0.36,0.15463,0.297
1618332,0.042,0.35,0.15463,0.297
1618333,0.041,0.35,0.17048,0.286
1618334,0.04,0.34,0.2073,0.264
1618335,0.038,0.33,0.24958,0.242
1618336,0.04,0.36,0.27356,0.231
1618337,0.037,0.32,0.29754,0.22
1618338,0.033,0.27,0.32442,0.209
1618339,0.033,0.27,0.35131,0.198
1618340,0.033,0.27,0.35131,0.198
1620712,0.046,0.39,0.15174,0.297
1620713,0.047,0.42,0.17048,0.286
1620714,0.047,0.43,0.17048,0.286
1620715,0.047,0.45,0.15339,0.297
1620716,0.043,0.42,0.18756,0.275
1620717,0.045,0.44,0.17048,0.286
1620718,0.045,0.43,0.15463,0.297
1620719,0.045,0.44,0.18889,0.275
1620720,0.045,0.45,0.18889,0.275
1620721,0.045,0.45,0.18889,0.275
1620722,0.047,0.45,0.15463,0.297
1620723,0.048,0.42,0.13878,0.308
1620724,0.047,0.41,0.13878,0.308
1620725,0.05,0.39,0.18756,0.275
1620726,0.053,0.4,0.22844,0.253
1620727,0.051,0.39,0.22844,0.253
1620728,0.049,0.4,0.15463,0.297
1620729,0.048,0.39,0.12531,0.319
1620730,0.048,0.39,0.12531,0.319
1620731,0.045,0.39,0.15463,0.297
1620732,0.045,0.38,0.15463,0.297
1620733,0.045,0.37,0.15463,0.297
1620734,0.042,0.36,0.15463,0.297
1620735,0.039,0.33,0.2073,0.264
1620736,0.039,0.34,0.22844,0.253
1620737,0.038,0.32,0.22844,0.253
1620738,0.038,0.32,0.24958,0.242
1620739,0.03,0.25,0.24958,0.242
1620740,0.03,0.24,0.29754,0.22
1623115,0.047,0.42,0.15463,0.297
1623116,0.047,0.44,0.17048,0.286
1623117,0.048,0.47,0.22844,0.253
1623118,0.049,0.5,0.24958,0.242
1623119,0.05,0.53,0.27356,0.231
1623120,0.05,0.52,0.22844,0.253
1623121,0.047,0.49,0.22844,0.253
1623122,0.045,0.47,0.2073,0.264
1623123,0.045,0.46,0.18889,0.275
1623124,0.043,0.44,0.18889,0.275
1623125,0.045,0.43,0.15339,0.297
1623126,0.047,0.41,0.13878,0.308
1623127,0.048,0.4,0.15463,0.297
1623128,0.053,0.4,0.2073,0.264
1623129,0.053,0.39,0.2073,0.264
1623130,0.05,0.4,0.13878,0.308
1623131,0.047,0.4,0.13878,0.308
1623132,0.047,0.41,0.12531,0.319
1623133,0.045,0.4,0.15463,0.297
1623134,0.045,0.4,0.15463,0.297
1623135,0.04,0.36,0.15463,0.297
1623136,0.039,0.34,0.17048,0.286
1623137,0.04,0.36,0.2073,0.264
1623138,0.04,0.35,0.22844,0.253
1623139,0.04,0.33,0.22844,0.253
1623140,0.035,0.28,0.22844,0.253
1623141,0.032,0.25,0.22844,0.253
1623142,0.029,0.23,0.24958,0.242
1625520,0.047,0.47,0.18756,0.275
1625521,0.05,0.53,0.27356,0.231
1625522,0.05,0.53,0.27356,0.231
1625523,0.047,0.5,0.22844,0.253
1625524,0.047,0.51,0.22844,0.253
1625525,0.053,0.59,0.22844,0.253
1625526,0.047,0.49,0.2073,0.264
1625527,0.045,0.43,0.15463,0.297
1625528,0.048,0.42,0.13878,0.308
1625529,0.05,0.4,0.13878,0.308
1625530,0.048,0.39,0.15463,0.297
1625531,0.051,0.39,0.16919,0.286
1625532,0.049,0.39,0.12531,0.319
1625533,0.047,0.4,0.12531,0.319
1625534,0.05,0.44,0.15463,0.297
1625535,0.048,0.43,0.15463,0.297
1625536,0.042,0.39,0.15463,0.297
1625537,0.04,0.38,0.18889,0.275
1625538,0.042,0.4,0.2073,0.264
1625539,0.04,0.36,0.22844,0.253
1625540,0.04,0.34,0.22844,0.253
1625541,0.04,0.33,0.22844,0.253
1625542,0.035,0.27,0.22844,0.253
1625543,0.033,0.25,0.22844,0.253
1625544,0.031,0.24,0.2073,0.264
1627925,0.051,0.58,0.27356,0.231
1627926,0.05,0.56,0.27356,0.231
1627927,0.05,0.56,0.24958,0.242
1627928,0.045,0.47,0.22844,0.253
1627929,0.047,0.46,0.15463,0.297
1627930,0.05,0.44,0.15463,0.297
1627931,0.05,0.43,0.12531,0.319
1627932,0.05,0.4,0.12531,0.319
1627933,0.05,0.42,0.12531,0.319
1627934,0.05,0.41,0.13878,0.308
1627935,0.05,0.44,0.15463,0.297
1627936,0.048,0.44,0.15463,0.297
1627937,0.045,0.42,0.15463,0.297
1627938,0.045,0.41,0.15463,0.297
1627939,0.045,0.4,0.15463,0.297
1627940,0.042,0.37,0.17048,0.286
1627941,0.042,0.36,0.18889,0.275
1627942,0.041,0.34,0.18889,0.275
1627943,0.039,0.31,0.2073,0.264
1627944,0.034,0.27,0.22844,0.253
1627945,0.032,0.25,0.22844,0.253
1627946,0.03,0.23,0.22704,0.253
1627947,0.03,0.23,0.24958,0.242
1627948,0.03,0.24,0.29754,0.22
1630328,0.05,0.6,0.27356,0.231
1630329,0.05,0.59,0.27356,0.231
1630330,0.05,0.55,0.27356,0.231
1630331,0.05,0.49,0.18889,0.275
1630332,0.052,0.47,0.15463,0.297
1630333,0.052,0.47,0.15463,0.297
1630334,0.05,0.42,0.15463,0.297
1630335,0.052,0.47,0.15463,0.297
1630336,0.052,0.46,0.15463,0.297
1630337,0.05,0.48,0.15463,0.297
1630338,0.047,0.45,0.17048,0.286
1630339,0.045,0.43,0.2073,0.264
1630340,0.045,0.41,0.17048,0.286
1630341,0.047,0.4,0.17048,0.286
1630342,0.042,0.36,0.18889,0.275
1630343,0.042,0.35,0.18889,0.275
1630344,0.042,0.34,0.18889,0.275
1630345,0.037,0.31,0.22844,0.253
1630346,0.033,0.27,0.22844,0.253
1630347,0.032,0.26,0.2073,0.264
1630348,0.031,0.24,0.18889,0.275
1630349,0.03,0.24,0.29754,0.22
1632730,0.049,0.62,0.17048,0.286
1632731,0.05,0.58,0.17048,0.286
1632732,0.047,0.5,0.15463,0.297
1632733,0.05,0.51,0.13878,0.308
1632734,0.05,0.51,0.13878,0.308
1632735,0.055,0.52,0.11184,0.33
1632736,0.053,0.49,0.11184,0.33
1632737,0.052,0.51,0.11184,0.33
1632738,0.052,0.51,0.12418,0.319
1632739,0.053,0.53,0.18756,0.275
1632740,0.052,0.53,0.20593,0.264
1632741,0.05,0.48,0.17048,0.286
1632742,0.048,0.43,0.17048,0.286
1632743,0.047,0.43,0.18889,0.275
1632744,0.045,0.4,0.17048,0.286
1632745,0.042,0.37,0.2073,0.264
1632746,0.038,0.32,0.2073,0.264
1632747,0.036,0.32,0.22704,0.253
1632748,0.032,0.28,0.22704,0.253
1632749,0.032,0.26,0.2073,0.264
1632750,0.029,0.24,0.24815,0.242
1632754,0.029,0.23,0.22844,0.253
1632755,0.028,0.22,0.24958,0.242
1632756,0.03,0.23,0.22844,0.253
1632775,0.043,0.32,0.41085,0.176
1635130,0.05,0.58,0.17048,0.286
1635131,0.048,0.59,0.17048,0.286
1635132,0.047,0.6,0.15463,0.297
1635133,0.05,0.62,0.15463,0.297
1635134,0.043,0.49,0.15463,0.297
1635135,0.047,0.54,0.15463,0.297
1635136,0.039,0.42,0.15463,0.297
1635137,0.041,0.42,0.15463,0.297
1635138,0.042,0.42,0.13878,0.308
1635139,0.038,0.4,0.13878,0.308
1635140,0.037,0.39,0.15463,0.297
1635141,0.04,0.43,0.15463,0.297
1635142,0.05,0.52,0.17048,0.286
1635143,0.05,0.47,0.12531,0.319
1635144,0.05,0.47,0.13878,0.308
1635145,0.045,0.43,0.18889,0.275
1635146,0.042,0.41,0.2073,0.264
1635147,0.04,0.37,0.2073,0.264
1635148,0.04,0.37,0.2073,0.264
1635149,0.035,0.32,0.22704,0.253
1635150,0.033,0.29,0.2073,0.264
1635151,0.031,0.26,0.22704,0.253
1635152,0.03,0.24,0.22704,0.253
1635154,0.03,0.23,0.22704,0.253
1635155,0.032,0.25,0.32297,0.209
1635156,0.032,0.25,0.22704,0.253
1635157,0.027,0.21,0.24958,0.242
1635158,0.027,0.21,0.2073,0.264
1635169,0.045,0.33,0.44342,0.165
1635170,0.047,0.35,0.44342,0.165
1635174,0.05,0.37,0.41085,0.176
1635175,0.05,0.37,0.44342,0.165
1635176,0.048,0.36,0.44342,0.165
1635177,0.048,0.37,0.41085,0.176
1635178,0.045,0.34,0.44342,0.165
1635180,0.037,0.28,0.32151,0.209
1635181,0.04,0.31,0.32297,0.209
1635184,0.029,0.22,0.18889,0.275
1635185,0.028,0.22,0.15339,0.297
1635208,0.03,0.21,0.38107,0.187
1635209,0.023,0.16,0.44342,0.165
1635210,0.023,0.16,0.44342,0.165
1635211,0.023,0.16,0.44342,0.165
1635212,0.021,0.15,0.476,0.154
1635213,0.021,0.14,0.51122,0.143
1637531,0.052,0.56,0.13878,0.308
1637532,0.047,0.53,0.2073,0.264
1637533,0.05,0.59,0.15463,0.297
1637534,0.048,0.58,0.15463,0.297
1637535,0.043,0.53,0.15463,0.297
1637536,0.038,0.49,0.15463,0.297
1637537,0.039,0.47,0.18889,0.275
1637538,0.042,0.46,0.15463,0.297
1637539,0.04,0.42,0.13878,0.308
1637540,0.042,0.44,0.13878,0.308
1637541,0.04,0.45,0.18889,0.275
1637542,0.043,0.49,0.17048,0.286
1637543,0.047,0.54,0.15463,0.297
1637544,0.043,0.47,0.15463,0.297
1637545,0.047,0.47,0.17048,0.286
1637546,0.047,0.47,0.17048,0.286
1637547,0.042,0.43,0.22844,0.253
1637548,0.04,0.4,0.22844,0.253
1637549,0.038,0.36,0.22844,0.253
1637550,0.035,0.32,0.2073,0.264
1637551,0.035,0.31,0.2073,0.264
1637552,0.034,0.3,0.2073,0.264
1637553,0.031,0.26,0.22704,0.253
1637554,0.032,0.26,0.2073,0.264
1637555,0.03,0.24,0.22704,0.253
1637556,0.028,0.23,0.24958,0.242
1637557,0.021,0.17,0.2073,0.264
1637558,0.02,0.16,0.2073,0.264
1637559,0.021,0.18,0.22844,0.253
1637560,0.02,0.16,0.18756,0.275
1637566,0.031,0.25,0.35131,0.198
1637567,0.028,0.22,0.476,0.154
1637571,0.048,0.37,0.44342,0.165
1637576,0.052,0.39,0.44342,0.165
1637577,0.05,0.38,0.44342,0.165
1637578,0.05,0.39,0.44342,0.165
1637579,0.05,0.39,0.35131,0.198
1637580,0.047,0.36,0.41085,0.176
1637584,0.037,0.29,0.29754,0.22
1637585,0.03,0.24,0.22844,0.253
1637586,0.03,0.25,0.18889,0.275
1637587,0.026,0.2,0.17048,0.286
1637594,0.037,0.31,0.15339,0.297
1637607,0.026,0.19,0.35131,0.198
1637608,0.032,0.23,0.38107,0.187
1637609,0.032,0.22,0.38107,0.187
1637610,0.03,0.21,0.38107,0.187
1637611,0.023,0.16,0.44342,0.165
1637612,0.02,0.14,0.44342,0.165
1637613,0.021,0.15,0.476,0.154
1637614,0.021,0.15,0.44205,0.165
1637615,0.022,0.15,0.476,0.154
1637616,0.025,0.17,0.58294,0.121
1637617,0.025,0.17,0.66142,0.099
1637618,0.023,0.15,0.66142,0.099
1639929,0.047,0.42,0.11184,0.33
1639930,0.044,0.41,0.17048,0.286
1639933,0.05,0.52,0.13878,0.308
1639934,0.047,0.49,0.11184,0.33
1639935,0.037,0.4,0.15463,0.297
1639936,0.043,0.49,0.15463,0.297
1639937,0.04,0.49,0.15463,0.297
1639938,0.037,0.47,0.17048,0.286
1639939,0.04,0.5,0.15463,0.297
1639940,0.043,0.52,0.17048,0.286
1639941,0.043,0.52,0.18889,0.275
1639942,0.043,0.51,0.17048,0.286
1639943,0.042,0.51,0.15463,0.297
1639944,0.038,0.47,0.18889,0.275
1639945,0.04,0.49,0.15463,0.297
1639946,0.043,0.48,0.15463,0.297
1639947,0.043,0.47,0.15463,0.297
1639948,0.045,0.49,0.17048,0.286
1639949,0.043,0.45,0.2073,0.264
1639950,0.042,0.42,0.22844,0.253
1639951,0.038,0.36,0.22844,0.253
1639952,0.035,0.32,0.18889,0.275
1639953,0.035,0.31,0.18889,0.275
1639954,0.036,0.3,0.18889,0.275
1639955,0.033,0.28,0.18889,0.275
1639956,0.034,0.27,0.18889,0.275
1639957,0.033,0.25,0.18889,0.275
1639958,0.029,0.24,0.22704,0.253
1639959,0.02,0.17,0.2073,0.264
1639960,0.021,0.18,0.13878,0.308
1639961,0.02,0.16,0.15463,0.297
1639964,0.03,0.24,0.10052,0.341
1639966,0.027,0.22,0.22844,0.253
1639967,0.033,0.26,0.32442,0.209
1639968,0.029,0.23,0.29754,0.22
1639969,0.034,0.27,0.35131,0.198
1639972,0.047,0.36,0.44342,0.165
1639973,0.047,0.36,0.44342,0.165
1639978,0.055,0.43,0.41085,0.176
1639979,0.052,0.41,0.41085,0.176
1639980,0.05,0.41,0.38107,0.187
1639981,0.05,0.41,0.35131,0.198
1639982,0.047,0.36,0.41085,0.176
1639985,0.04,0.32,0.34985,0.198
1639986,0.037,0.31,0.35131,0.198
1639987,0.033,0.28,0.35131,0.198
1639988,0.03,0.24,0.18889,0.275
1639991,0.027,0.22,0.12418,0.319
1639992,0.025,0.2,0.17048,0.286
1639993,0.033,0.26,0.18889,0.275
1639994,0.036,0.29,0.13878,0.308
1639995,0.036,0.3,0.13601,0.308
1640007,0.028,0.21,0.37964,0.187
1640008,0.03,0.22,0.38107,0.187
1640009,0.029,0.21,0.41085,0.176
1640010,0.032,0.22,0.38107,0.187
1640011,0.033,0.23,0.38107,0.187
1640012,0.03,0.22,0.41085,0.176
1640013,0.022,0.16,0.44342,0.165
1640014,0.021,0.15,0.44342,0.165
1640015,0.02,0.14,0.58407,0.121
1640016,0.02,0.14,0.58407,0.121
1640017,0.022,0.16,0.58407,0.121
1640018,0.025,0.17,0.66142,0.099
1640019,0.023,0.16,0.66142,0.099
1640020,0.015,0.1,0.66142,0.099
1640021,0.014,0.09,0.66142,0.099
1640022,0.02,0.13,0.6217,0.11
1640023,0.025,0.16,0.51122,0.143
1642331,0.042,0.4,0.17048,0.286
1642332,0.041,0.42,0.15463,0.297
1642333,0.041,0.41,0.15463,0.297
1642334,0.042,0.41,0.13878,0.308
1642335,0.042,0.4,0.12531,0.319
1642336,0.047,0.47,0.11184,0.33
1642337,0.05,0.5,0.11184,0.33
1642338,0.04,0.43,0.17048,0.286
1642339,0.04,0.46,0.18889,0.275
1642340,0.039,0.5,0.15463,0.297
1642341,0.039,0.52,0.2073,0.264
1642342,0.042,0.55,0.2073,0.264
1642343,0.042,0.55,0.22844,0.253
1642344,0.043,0.54,0.2073,0.264
1642345,0.041,0.53,0.2073,0.264
1642346,0.038,0.5,0.17048,0.286
1642347,0.036,0.46,0.15463,0.297
1642348,0.042,0.51,0.15463,0.297
1642349,0.047,0.54,0.15463,0.297
1642350,0.045,0.49,0.15463,0.297
1642351,0.043,0.44,0.2073,0.264
1642352,0.042,0.41,0.18889,0.275
1642353,0.04,0.37,0.18889,0.275
1642354,0.037,0.33,0.17048,0.286
1642355,0.036,0.31,0.18889,0.275
1642356,0.037,0.31,0.18889,0.275
1642357,0.034,0.29,0.18889,0.275
1642358,0.032,0.27,0.18889,0.275
1642359,0.033,0.26,0.18889,0.275
1642360,0.033,0.28,0.24958,0.242
1642361,0.023,0.2,0.18889,0.275
1642362,0.022,0.19,0.17048,0.286
1642363,0.022,0.18,0.11184,0.33
1642364,0.025,0.2,0.12531,0.319
1642365,0.027,0.22,0.12531,0.319
1642366,0.028,0.23,0.18889,0.275
1642367,0.027,0.22,0.22844,0.253
1642368,0.03,0.24,0.27356,0.231
1642369,0.031,0.26,0.27356,0.231
1642370,0.028,0.23,0.41085,0.176
1642371,0.034,0.28,0.32297,0.209
1642372,0.04,0.34,0.32297,0.209
1642374,0.047,0.38,0.37964,0.187
1642375,0.05,0.39,0.44342,0.165
1642377,0.055,0.41,0.41085,0.176
1642381,0.05,0.39,0.44342,0.165
1642382,0.05,0.41,0.38107,0.187
1642383,0.048,0.4,0.35131,0.198
1642384,0.047,0.38,0.38107,0.187
1642385,0.045,0.35,0.35131,0.198
1642387,0.04,0.32,0.35131,0.198
1642388,0.037,0.31,0.32442,0.209
1642389,0.033,0.27,0.27356,0.231
1642390,0.03,0.25,0.18756,0.275
1642392,0.026,0.21,0.13878,0.308
1642393,0.027,0.22,0.17048,0.286
1642394,0.033,0.28,0.17048,0.286
1642395,0.036,0.29,0.17048,0.286
1642396,0.036,0.3,0.1372,0.308
1642406,0.037,0.32,0.32442,0.209
1642407,0.036,0.29,0.29754,0.22
1642408,0.034,0.27,0.29754,0.22
1642409,0.03,0.24,0.35131,0.198
1642410,0.027,0.2,0.32297,0.209
1642411,0.027,0.2,0.38107,0.187
1642412,0.03,0.22,0.38107,0.187
1642413,0.021,0.16,0.44342,0.165
1642414,0.025,0.18,0.44342,0.165
1642415,0.025,0.18,0.476,0.154
1642416,0.02,0.14,0.51122,0.143
1642417,0.019,0.14,0.58407,0.121
1642418,0.02,0.14,0.58407,0.121
1642419,0.02,0.14,0.58407,0.121
1642420,0.016,0.11,0.66142,0.099
1642421,0.015,0.1,0.66142,0.099
1642422,0.016,0.11,0.66142,0.099
1642423,0.016,0.11,0.74181,0.077
1642424,0.014,0.09,0.70113,0.088
1642425,0.023,0.15,0.58294,0.121
1642426,0.031,0.2,0.35131,0.198
1642427,0.035,0.22,0.27356,0.231
1642428,0.037,0.23,0.17048,0.286
1644734,0.04,0.43,0.15463,0.297
1644735,0.045,0.5,0.17048,0.286
1644736,0.047,0.5,0.15463,0.297
1644737,0.05,0.53,0.13878,0.308
1644738,0.047,0.5,0.11184,0.33
1644739,0.037,0.4,0.15463,0.297
1644740,0.038,0.43,0.17048,0.286
1644741,0.04,0.46,0.18889,0.275
1644742,0.04,0.48,0.15463,0.297
1644743,0.041,0.51,0.17048,0.286
1644744,0.04,0.53,0.2073,0.264
1644745,0.04,0.56,0.2073,0.264
1644746,0.039,0.54,0.22844,0.253
1644747,0.039,0.55,0.22844,0.253
1644748,0.037,0.53,0.2073,0.264
1644749,0.034,0.48,0.17048,0.286
1644750,0.035,0.45,0.15463,0.297
1644751,0.045,0.53,0.15463,0.297
1644752,0.04,0.42,0.15463,0.297
1644753,0.04,0.41,0.17048,0.286
1644754,0.042,0.41,0.2073,0.264
