"nie_malla_modi_id","sen_slope_pnwi","sen_slope_per_pnwi","p_value_pnwi","tau_pnwi"
1704803,6.958,3.19,0.44342,0.165
1704804,5.576,2.72,0.32442,0.209
1704805,5.759,3.03,0.32442,0.209
1704806,5.567,3.25,0.32442,0.209
1704807,4.43,3.14,0.27356,0.231
1704808,3.206,2.57,0.27356,0.231
1704809,3.462,2.81,0.32442,0.209
1704810,6.07,3.65,0.27356,0.231
1704811,9.966,5.38,0.22844,0.253
1704812,8.075,3.97,0.18889,0.275
1704813,8.415,4.21,0.22844,0.253
1704814,10.39,5.13,0.18889,0.275
1704815,8.101,4.51,0.12531,0.319
1704816,7.824,4.83,0.15463,0.297
1704817,6.572,4.29,0.15463,0.297
1704818,7.362,6.84,0.12531,0.319
1704819,7.73,7.43,0.12531,0.319
1704820,7.145,5.01,0.12531,0.319
1704821,7.171,5.48,0.22844,0.253
1704822,6.648,6.36,0.27356,0.231
1704823,5.674,6.86,0.15463,0.297
1704824,4.871,6.45,0.15463,0.297
1704825,5.38,6.26,0.15463,0.297
1704826,4.249,6.86,0.15463,0.297
1704827,2.115,5.68,0.0892,0.352
1704828,1.626,4.75,0.10052,0.341
1704829,1.705,4.84,0.22844,0.253
1704830,2.993,5.55,0.12531,0.319
1704831,3.36,5.76,0.22844,0.253
1704832,3.589,4.83,0.32442,0.209
1704833,5.054,5.53,0.18889,0.275
1704834,6.24,6.45,0.15463,0.297
1704835,3.307,5.24,0.15463,0.297
1704836,1.754,4.14,0.22844,0.253
1704837,1.497,3.72,0.32442,0.209
1704838,2.818,4.64,0.32442,0.209
1704839,3.38,4.37,0.18889,0.275
1704840,2.188,4,0.27356,0.231
1704844,3.07,6.25,0.0798,0.363
1704845,3.052,4.21,0.32442,0.209
1704846,3.79,4.21,0.32442,0.209
1704847,4.47,4.04,0.32442,0.209
1704848,4.333,3.41,0.32442,0.209
1704849,4.371,3.46,0.32442,0.209
1704850,4.261,3.7,0.27356,0.231
1704851,3.375,3.9,0.44342,0.165
1704852,2.155,3.13,0.27356,0.231
1704853,1.772,3.54,0.22844,0.253
1704854,1.078,3.64,0.38107,0.187
1704855,1.635,3.02,0.22844,0.253
1704856,1.942,2.81,0.27356,0.231
1704857,3.132,3.47,0.32442,0.209
1704858,3.287,3.05,0.44342,0.165
1704859,3.271,3.25,0.32442,0.209
1704860,3.303,4.02,0.22844,0.253
1704861,2.803,4.38,0.15463,0.297
1704862,2.243,5.38,0.15463,0.297
1704863,2.985,5.53,0.12531,0.319
1704864,2.945,5.9,0.0798,0.363
1704865,2.421,5.6,0.10052,0.341
1704866,1.869,5.36,0.22844,0.253
1704867,1.977,4.96,0.15463,0.297
1704868,1.91,4.09,0.15463,0.297
1704869,2.505,4.33,0.12531,0.319
1704870,2.393,3.34,0.27356,0.231
1704871,2.173,3.08,0.32442,0.209
1704872,2.798,3.58,0.32442,0.209
1704873,2.669,2.9,0.38107,0.187
1704874,2.526,2.87,0.44342,0.165
1704875,2.477,2.89,0.44342,0.165
1704876,2.511,2.84,0.44342,0.165
1704877,2.487,2.83,0.51122,0.143
1704878,2.406,2.81,0.58407,0.121
1704879,2.346,2.94,0.51122,0.143
1704880,2.033,2.41,0.58407,0.121
1704881,2.047,2.66,0.51122,0.143
1704882,1.79,2.57,0.44342,0.165
1704883,1.39,2.25,0.32442,0.209
1704884,1.24,2.34,0.58407,0.121
1704885,2.493,4.76,0.22844,0.253
1704886,2.542,5.38,0.22844,0.253
1704887,1.979,5.79,0.10052,0.341
1704888,1.042,5.5,0.12531,0.319
1704889,0.319,3.13,0.12038,0.319
1704890,0.048,3.46,0.21659,0.253
1704891,0.27,4.2,0.09609,0.341
1704892,0.432,4.12,0.12038,0.319
1704893,0.91,5.02,0.1104,0.33
1704894,0.346,3.24,0.09609,0.341
1704895,0.12,4.19,0.09609,0.341
1704896,0.023,2.12,0.26131,0.231
1704897,0.033,2.29,0.21659,0.253
1704898,0.057,2.15,0.31203,0.209
1704899,0.283,4.07,0.06675,0.374
1704900,0.464,5.21,0.09609,0.341
1704901,0.303,5.01,0.09609,0.341
1704902,0.245,5.87,0.1831,0.275
1704903,0.047,1.38,0.36884,0.187
1704904,0.231,5.03,0.14924,0.297
1704905,0.244,4.93,0.1831,0.275
1704906,0.035,0.95,0.36884,0.187
1704907,0.013,1.22,0.18809,0.264
1704908,0,0,0.58989,0.088
1704909,0,0,0.58989,0.088
1704910,0,0,0.90282,0.033
1704911,0,0,0.90282,0.033
1704912,0,0,0.58989,0.088
1704913,0,0,0.58989,0.088
1704914,0,0,0.27531,0.143
1707124,0.19,2.55,0.29754,0.22
1707125,0.092,0.86,0.58407,0.121
1707126,0.236,1.93,0.44342,0.165
1707127,0.807,4.71,0.12531,0.319
1707128,0.63,4.08,0.10052,0.341
1707129,1.442,6.62,0.10052,0.341
1707130,1.496,6.35,0.10052,0.341
1707131,1.446,6.04,0.0798,0.363
1707132,1.935,7.54,0.0798,0.363
1707133,1.831,7.18,0.12531,0.319
1707134,2.2,7.27,0.15463,0.297
1707135,1.122,5.59,0.15463,0.297
1707136,1.142,5.58,0.22844,0.253
1707137,1.115,5.37,0.22844,0.253
1707138,1.622,7.59,0.22844,0.253
1707139,1.499,6.12,0.18889,0.275
1707140,1.678,5.63,0.15463,0.297
1707141,0.58,3.57,0.18889,0.275
1707142,1.363,5.05,0.15463,0.297
1707143,1.542,6.03,0.15463,0.297
1707144,2.218,5.2,0.12531,0.319
1707145,3.943,6.17,0.15463,0.297
1707146,3.74,4.71,0.15463,0.297
1707147,2.996,5.73,0.15463,0.297
1707148,3.097,6.16,0.15463,0.297
1707149,3.775,4.97,0.12531,0.319
1707150,4.057,5.58,0.12531,0.319
1707151,4.148,6.06,0.15463,0.297
1707152,2.59,2.65,0.27356,0.231
1707153,5.526,4.49,0.38107,0.187
1707154,3.699,2.46,0.66142,0.099
1707155,3.367,2.37,0.58407,0.121
1707156,4.317,3.35,0.32442,0.209
1707157,4.511,4.36,0.10052,0.341
1707158,4.721,4.44,0.12531,0.319
1707159,6.425,4.07,0.22844,0.253
1707160,6.699,3.16,0.38107,0.187
1707161,9.177,3.61,0.44342,0.165
1707162,11.598,4.31,0.44342,0.165
1707163,10.288,3.78,0.44342,0.165
1707164,11.08,3.85,0.44342,0.165
1707165,10.766,3.23,0.74256,0.077
1707166,12.596,3.6,0.44342,0.165
1707167,13.132,3.66,0.44342,0.165
1707168,13.261,3.58,0.44342,0.165
1707169,13.392,3.64,0.44342,0.165
1707170,13.653,3.48,0.38107,0.187
1707171,13.852,3.38,0.38107,0.187
1707172,14.282,3.53,0.38107,0.187
1707173,14.282,3.47,0.32442,0.209
1707174,14.404,3.58,0.32442,0.209
1707175,14.114,3.66,0.32442,0.209
1707176,13.764,3.96,0.32442,0.209
1707177,14.376,4.06,0.27356,0.231
1707178,14.476,3.97,0.27356,0.231
1707179,14.067,4.08,0.27356,0.231
1707180,13.902,4.2,0.27356,0.231
1707181,14.68,4.26,0.27356,0.231
1707182,14.638,4.28,0.27356,0.231
1707183,13.382,4.15,0.27356,0.231
1707184,14.26,4.26,0.27356,0.231
