"nie_malla_modi_id","sen_slope","sen_slope_per","p_value","tau"
"1620731",1.143,1.4,0.43834,0.165
"1620732",3.333,4.23,0.00239,0.615
"1620733",1.889,2.25,0.18265,0.275
"1620734",0,0,0.95579,0.022
"1620735",0,0,1,0
"1620736",2.667,3.13,0.22704,0.253
"1620737",2.667,3.15,0.16919,0.286
"1620738",3.5,4.49,0.16919,0.286
"1620739",4,5.15,0.40943,0.176
"1620740",3.2,3.74,0.18578,0.275
"1623115",0.667,0.8,0.91255,0.033
"1623116",2.667,3.74,0.18399,0.275
"1623117",1.333,2.1,0.26578,0.231
"1623118",1.6,2.91,0.08118,0.352
"1623119",2,3.18,0.24431,0.242
"1623120",0,0,1,0.011
"1623121",0.667,1.08,0.6582,0.099
"1623122",0,0,0.73901,0.077
"1623123",-1,-1.91,0.4061,-0.176
"1623124",1,1.74,0.34593,0.198
"1623125",1,1.68,0.31756,0.209
"1623126",0,0,0.86668,-0.044
"1623127",4.714,6.65,0.01129,0.516
"1623128",3.077,3.6,0.07679,0.363
"1623129",2.667,2.92,0.20593,0.264
"1623130",2.667,2.85,0.29609,0.22
"1623131",2.667,3.14,0.18444,0.275
"1623132",2,2.63,0.06844,0.374
"1623133",2.143,2.92,0.05329,0.396
"1623134",2.667,3.69,0.01097,0.516
"1623135",1.778,2.49,0.31756,0.209
"1623136",2,2.86,0.16573,0.286
"1623137",2.909,3.47,0.13601,0.308
"1623138",3.2,3.96,0.06956,0.374
"1623139",1.778,1.77,0.6595,0.099
"1623140",4,4.72,0.078,0.363
"1623141",4,4.71,0.15174,0.297
"1623142",3.625,3.89,0.18756,0.275
"1625520",1.143,2.08,0.37332,0.187
"1625521",1,1.8,0.37626,0.187
"1625522",0,0,0.91229,0.033
"1625523",0,0,0.82494,-0.055
"1625524",0.167,0.3,0.74004,0.077
"1625525",-0.778,-1.52,0.74004,-0.077
"1625526",-0.818,-1.63,0.50695,-0.143
"1625527",-0.889,-1.7,0.26677,-0.231
"1625528",0,0,0.65489,-0.099
"1625529",3.077,4.1,0.00682,0.549
"1625530",2.667,3.45,0.00953,0.527
"1625531",4.5,5.07,0.0995,0.341
"1625532",2.667,3.93,0.22517,0.253
"1625533",0,0,1,-0.011
"1625534",1.143,1.57,0.3782,0.187
"1625535",3,3.73,0.10968,0.33
"1625536",3.333,4.35,0.03636,0.429
"1625537",2,2.75,0.06113,0.385
"1625538",2.182,2.91,0.18399,0.275
"1625539",1.6,2.35,0.24624,0.242
"1625540",4,4.85,0.02058,0.473
"1625541",4,4.38,0.06086,0.385
"1625542",2.846,2.81,0.22517,0.253
"1625543",5.308,5.4,0.0995,0.341
"1625544",4.444,4.28,0.18578,0.275
"1627925",0,0,0.95597,-0.022
"1627926",0,0,1,-0.011
"1627927",-0.8,-1.69,0.50695,-0.143
"1627928",1.333,2.4,0.43881,0.165
"1627929",0,0,0.73745,-0.077
"1627930",0.889,1.37,0.6582,0.099
"1627931",4,4.96,0.00946,0.527
"1627932",3.3,4.17,0.01758,0.484
"1627933",0,0,0.9122,-0.033
"1627934",2,2.87,0.22704,0.253
"1627935",1,1.35,0.6595,0.099
"1627936",3.333,4.35,0.03636,0.429
"1627937",2.462,3.26,0.06113,0.385
"1627938",2.143,2.68,0.18623,0.275
"1627939",2,2.78,0.20133,0.264
"1627940",1.857,2.4,0.28968,0.22
"1627941",3.429,4.96,0.03198,0.44
"1627942",4,4.55,0.04807,0.407
"1627943",2.286,2.68,0.34985,0.198
"1627944",3.2,4.22,0.44067,0.165
"1627945",1,1.31,0.57988,0.121
"1627946",2.143,2.24,0.70028,0.088
"1627947",-5.25,-7.07,0.27019,-0.231
"1627948",-4,-4.57,0.40943,-0.176
"1630328",-0.8,-1.72,0.58026,-0.121
"1630329",-1.333,-2.86,0.22376,-0.253
"1630330",0,0,1,-0.011
"1630331",0,0,0.91193,0.033
"1630332",3,4.24,0.03636,0.429
"1630333",4,4.96,0.00946,0.527
"1630334",3.444,4.05,0.06844,0.374
"1630335",2,2.6,0.40943,0.176
"1630336",0,0,0.95597,0.022
"1630337",1.167,1.6,0.24624,0.242
"1630338",1.143,1.63,0.22376,0.253
"1630339",2.333,3.31,0.02604,0.451
"1630340",2,2.87,0.12115,0.319
"1630341",2.182,3.16,0.22517,0.253
"1630342",-2.333,-3.75,0.12,-0.319
"1630343",-2.333,-3.75,0.12,-0.319
"1630344",0,0,0.78184,0.066
"1630345",1,1.31,0.37332,0.187
"1630346",0.167,0.22,0.86896,0.044
"1630347",0.8,1.23,0.5436,0.132
"1630348",1.778,2.57,0.32151,0.209
"1630349",1,1.28,0.82615,0.055
"1632730",-0.8,-1.72,0.58026,-0.121
"1632731",-0.8,-1.72,0.58026,-0.121
"1632732",-1.4,-2.9,0.44067,-0.165
"1632733",-2.462,-5.03,0.18623,-0.275
"1632734",2.286,3.21,0.40754,0.176
"1632735",2.909,3.92,0.34985,0.198
"1632736",4,4.99,0.12304,0.319
"1632737",2.143,3.11,0.44205,0.165
"1632738",2.6,3.78,0.22564,0.253
"1632739",1.167,1.58,0.24624,0.242
"1632740",1.167,1.7,0.15049,0.297
"1632741",3.2,4.81,0.03636,0.429
"1632742",-0.818,-1.5,0.69999,-0.088
"1632743",-0.2,-0.37,0.54113,-0.132
"1632744",0,0,1,0.011
"1632745",0,0,0.78162,-0.066
"1632746",-0.8,-1.23,0.50824,-0.143
"1632747",0,0,0.95597,-0.022
"1632748",0,0,0.91193,0.033
"1632749",-0.2,-0.26,0.7827,-0.066
"1632750",-2.667,-3.7,0.47467,-0.154
"1632754",-2.667,-2.69,0.61923,-0.11
"1632755",0,0,0.73423,0.077
"1632756",-2.667,-2.99,0.37332,-0.187
"1632775",-3.429,-5.42,0.30004,-0.209
"1635130",0,0,0.91229,0.033
"1635131",-0.8,-1.72,0.58026,-0.121
"1635132",-1,-2.09,0.5818,-0.121
"1635133",-1,-2.09,0.5818,-0.121
"1635134",0,0,0.91229,-0.033
"1635135",-1.333,-2.55,0.74106,-0.077
"1635136",2.462,4.09,0.16919,0.286
"1635137",0.5,0.77,0.65622,0.099
"1635138",2.667,3.8,0.37772,0.187
"1635139",1.6,2.63,0.29413,0.22
"1635140",0.889,1.49,0.5436,0.132
"1635141",0,0,0.82494,-0.055
"1635142",1.6,2.91,0.34593,0.198
"1635143",0,0,1,0
"1635144",0,0,0.9122,-0.033
"1635145",-0.667,-1.3,0.82615,-0.055
"1635146",0,0,0.9557,-0.022
"1635147",0,0,0.86843,0.044
"1635148",0,0,0.9557,-0.022
"1635149",0,0,0.91193,0.033
"1635150",0,0,0.95614,0.022
"1635151",-4,-4.62,0.34985,-0.198
"1635152",0,0,1,-0.011
"1635154",-1.5,-2.05,0.6595,-0.099
"1635155",0,0,0.91139,0.033
"1635156",0,0,0.86709,0.044
"1635157",0,0,0.82206,-0.055
"1635158",0,0,0.69617,0.088
"1635169",0,0,0.90833,-0.033
"1635170",0,0,0.7309,-0.077
"1635174",-3.692,-5.27,0.34494,-0.198
"1635175",-5.333,-6.05,0.17721,-0.275
"1635176",0.667,0.84,0.65689,0.099
"1635177",1.778,2.2,0.44021,0.165
"1635178",0,0,0.61265,-0.11
"1635180",-1.143,-1.71,0.50032,-0.143
"1635181",0,0,0.91139,0.033
"1635184",0,0,0.69251,-0.088
"1635185",0,0,0.77759,-0.066
"1635208",0,0,0.09699,-0.308
"1635209",0,0,0.09699,-0.308
"1635210",-1.857,-3.85,0.07612,-0.33
"1635211",-1.857,-3.85,0.07612,-0.33
"1635212",-1.857,-3.85,0.07612,-0.33
"1635213",0,0,0.40967,-0.165
"1637531",0,0,1,0.011
"1637532",0,0,0.91229,-0.033
"1637533",0,0,0.91229,-0.033
"1637534",0,0,0.91229,-0.033
"1637535",0,0,0.91193,-0.033
"1637536",0,0,0.91193,-0.033
"1637537",-0.8,-1.58,0.78249,-0.066
"1637538",0,0,0.91139,-0.033
"1637539",1,1.71,0.3479,0.198
"1637540",3,4.35,0.22517,0.253
"1637541",1.778,3.01,0.32151,0.209
"1637542",0,0,1,0.011
"1637543",0.5,0.93,0.61562,0.11
"1637544",0.889,1.68,0.6582,0.099
