"nie_malla_modi_id","sen_slope_pnau","sen_slope_per_pnau","p_value_pnau","tau_pnau"
1704849,-4.124,-8.52,0.18889,-0.275
1704850,-3.367,-7.79,0.0798,-0.363
1704851,-1.78,-6.28,0.10052,-0.341
1704852,-0.932,-4.54,0.32442,-0.209
1704853,-0.494,-3.49,0.58407,-0.121
1704854,0,0,0.91166,-0.033
1704855,-0.493,-3.39,0.66142,-0.099
1704856,-0.297,-1.58,0.82667,-0.055
1704857,-1.218,-4.32,0.32442,-0.209
1704858,-2.081,-5.67,0.18889,-0.275
1704859,-1.47,-4.54,0.38107,-0.187
1704860,-0.229,-1.02,0.82667,-0.055
1704861,0.083,0.55,0.95628,0.022
1704862,0.064,0.63,0.78313,0.066
1704863,0.104,0.83,0.78398,0.066
1704864,0.1,0.91,0.74181,0.077
1704865,0.063,0.62,0.78313,0.066
1704866,0,0,0.91166,0.033
1704867,0.001,0.01,0.86883,0.044
1704868,-0.201,-1.76,0.86935,-0.044
1704869,-0.207,-1.61,0.70113,-0.088
1704870,-0.679,-3.68,0.51122,-0.143
1704871,-0.54,-3.11,0.51122,-0.143
1704872,-0.84,-3.85,0.38107,-0.187
1704873,-1.094,-4.17,0.22844,-0.253
1704874,-1.117,-4.29,0.15463,-0.297
1704875,-0.993,-3.95,0.18889,-0.275
1704876,-1.027,-3.8,0.10052,-0.341
1704877,-1.015,-3.65,0.10052,-0.341
1704878,-0.959,-3.7,0.10052,-0.341
1704879,-0.761,-3.07,0.18889,-0.275
1704880,-1.126,-4.29,0.10052,-0.341
1704881,-0.756,-3.15,0.22844,-0.253
1704882,-0.73,-3.42,0.18889,-0.275
1704883,-0.3,-1.56,0.27356,-0.231
1704884,-0.024,-0.19,0.69999,-0.088
1704885,0.12,0.92,0.41085,0.176
1704886,0.11,0.85,0.35131,0.198
1704887,0.037,0.34,0.54483,0.132
1704888,0,0,0.77477,0.066
1704889,0,0,0.95436,0.022
1704890,0,0,0.56182,0.11
1704891,0,0,0.54155,0.121
1704892,0,0,0.95436,0.022
1704893,0,0,0.90873,-0.033
1704894,0,0,0.44471,0.154
1704895,0,0,0.60682,0.099
1704896,0,0,0.3633,0.121
1704897,0,0,0.3633,0.121
1704898,0,0,0.3633,0.121
1704899,0,0,0.51784,0.132
1704900,0,0,0.37786,0.176
1704901,0,0,0.46383,0.143
1704902,0,0,0.11134,0.264
1704903,0,0,0.3633,0.121
1704904,0,0,0.09583,0.275
1704905,0,0,0.09583,0.275
1704906,0,0,1,0.011
1704907,0,0,1,0.011
1704908,0,0,1,0.011
1704909,0,NA,NA,0
1704910,0,0,1,0.011
1704911,0,0,1,0.011
1704912,0,0,1,0.011
