"nie_malla_modi_id","sen_slope_presu","sen_slope_per_presu","p_value_presu","tau_presu"
1615917,0.194,0.41,1,0.011
1615918,0.179,0.39,1,0.011
1615919,0.35,0.79,0.91281,0.033
1615920,0.857,2.1,0.91281,0.033
1615921,0.39,1,0.91281,0.033
1615922,0.067,0.17,0.91281,0.033
1615923,0.018,0.05,0.91281,0.033
1615924,1.635,4.23,0.66142,0.099
1615925,1.63,4.32,0.66142,0.099
1615926,1.537,3.94,0.66142,0.099
1615927,1.55,3.92,0.66142,0.099
1615928,1.61,4.2,0.66142,0.099
1615929,2.067,5.33,0.38107,0.187
1615930,1.873,4.95,0.44342,0.165
1615931,2.14,5.36,0.44342,0.165
1615932,1.984,4.86,0.44342,0.165
1615933,2.002,4.77,0.44342,0.165
1615934,1.82,4.54,0.44342,0.165
1615935,1.761,4.47,0.44342,0.165
1615936,1.756,4.68,0.44342,0.165
1615937,1.776,5.01,0.44342,0.165
1615938,1.71,4.91,0.44342,0.165
1615939,1.629,4.67,0.44342,0.165
1615940,1.63,4.68,0.44342,0.165
1618310,1.655,3.67,0.58407,0.121
1618311,1.625,3.52,0.58407,0.121
1618312,1.615,3.48,0.58407,0.121
1618313,1.595,3.37,0.58407,0.121
1618314,1.56,3.21,0.66142,0.099
1618315,1.495,2.97,0.66142,0.099
1618316,1.445,2.8,0.66142,0.099
1618317,0.207,0.42,0.91281,0.033
1618318,0.204,0.41,1,0.011
1618319,0.193,0.4,1,0.011
1618320,0.175,0.37,1,0.011
1618321,1.1,2.53,0.91281,0.033
1618322,0.71,1.77,0.91281,0.033
1618323,0.58,1.39,0.91281,0.033
1618324,0.048,0.13,1,0.011
1618325,0.007,0.02,1,0.011
1618326,1.555,3.88,0.66142,0.099
1618327,1.523,3.81,0.66142,0.099
1618328,1.56,3.97,0.66142,0.099
1618329,1.55,3.79,0.66142,0.099
1618330,1.607,4.02,0.66142,0.099
1618331,2.183,5.53,0.38107,0.187
1618332,2.169,5.42,0.44342,0.165
1618333,2.041,5.03,0.44342,0.165
1618334,1.904,4.6,0.44342,0.165
1618335,2.118,5.04,0.44342,0.165
1618336,2.197,5.24,0.44342,0.165
1618337,2.028,4.99,0.44342,0.165
1618338,1.87,4.87,0.44342,0.165
1618339,1.695,4.51,0.44342,0.165
1618340,1.553,4.21,0.44342,0.165
1620712,1.63,3.52,0.58407,0.121
1620713,1.58,3.29,0.66142,0.099
1620714,1.56,3.23,0.66142,0.099
1620715,1.53,3.08,0.66142,0.099
1620716,1.5,2.98,0.66142,0.099
1620717,1.5,2.97,0.66142,0.099
1620718,1.495,2.96,0.66142,0.099
1620719,0.202,0.42,1,0.011
1620720,0.2,0.41,1,0.011
1620721,0.19,0.39,1,0.011
1620722,0.171,0.37,1,0.011
1620723,0.25,0.56,0.91281,0.033
1620724,0.963,2.22,0.91281,0.033
1620725,0.387,0.96,0.91281,0.033
1620726,0.039,0.1,1,0.011
1620727,-0.003,-0.01,1,-0.011
1620728,1.513,3.68,0.66142,0.099
1620729,1.507,3.61,0.66142,0.099
1620730,1.577,3.96,0.66142,0.099
1620731,1.547,3.65,0.66142,0.099
1620732,2.197,5.27,0.38107,0.187
1620733,2.171,5.33,0.44342,0.165
1620734,2.077,5.09,0.44342,0.165
1620735,1.947,4.69,0.44342,0.165
1620736,2.047,4.88,0.44342,0.165
1620737,1.963,4.78,0.44342,0.165
1620738,1.833,4.58,0.44342,0.165
1620739,1.85,4.82,0.44342,0.165
1620740,1.651,4.42,0.44342,0.165
1623115,1.615,3.42,0.58407,0.121
1623116,1.565,3.21,0.66142,0.099
1623117,1.5,2.96,0.66142,0.099
1623118,1.45,2.77,0.66142,0.099
1623119,1.42,2.67,0.66142,0.099
1623120,1.425,2.69,0.66142,0.099
1623121,0.205,0.42,1,0.011
1623122,0.199,0.4,1,0.011
1623123,0.187,0.38,1,0.011
1623124,0.17,0.35,1,0.011
1623125,0.146,0.31,1,0.011
1623126,0.957,2.17,0.91281,0.033
1623127,0.473,1.13,0.91281,0.033
1623128,0.032,0.08,1,0.011
1623129,0.075,0.2,1,0.011
1623130,1.55,3.83,0.66142,0.099
1623131,1.51,3.54,0.66142,0.099
1623132,1.54,3.63,0.66142,0.099
1623133,1.557,3.61,0.58407,0.121
1623134,2.082,4.78,0.38107,0.187
1623135,2.227,5.08,0.38107,0.187
1623136,2.122,4.94,0.44342,0.165
1623137,2.147,5.04,0.44342,0.165
1623138,1.975,4.77,0.44342,0.165
1623139,1.84,4.68,0.44342,0.165
1623140,1.773,4.68,0.44342,0.165
1623141,1.749,4.7,0.44342,0.165
1623142,1.698,4.68,0.44342,0.165
1625520,1.5,2.94,0.66142,0.099
1625521,1.435,2.71,0.66142,0.099
1625522,1.44,2.72,0.66142,0.099
1625523,0.204,0.41,1,0.011
1625524,0.197,0.39,1,0.011
1625525,0.187,0.37,1,0.011
