"nie_malla_modi_id","sen_slope_prewi","sen_slope_per_prewi","p_value_prewi","tau_prewi"
1620721,8.593,3.28,0.58407,0.121
1620722,7.708,3.12,0.58407,0.121
1620723,7.865,3.39,0.58407,0.121
1620724,7.136,3.19,0.58407,0.121
1620725,6.023,2.98,0.58407,0.121
1620726,5.134,2.72,0.51122,0.143
1620727,4.589,2.43,0.66142,0.099
1620728,5.331,2.99,0.44342,0.165
1620729,4.945,2.76,0.44342,0.165
1620730,4.074,2.47,0.44342,0.165
1620731,4.099,2.31,0.38107,0.187
1620732,4.228,2.81,0.58407,0.121
1620733,3.869,2.66,0.58407,0.121
1620734,3.73,2.55,0.58407,0.121
1620735,3.721,2.47,0.58407,0.121
1620736,3.636,2.38,0.58407,0.121
1620737,3.268,2.2,0.58407,0.121
1620738,2.827,1.98,0.58407,0.121
1620739,1.685,1.26,0.66142,0.099
1620740,1.276,1,0.82667,0.055
1623115,6.706,2.56,0.51122,0.143
1623116,7.504,2.76,0.51122,0.143
1623117,8.483,2.98,0.58407,0.121
1623118,9.276,3.14,0.51122,0.143
1623119,9.718,3.23,0.51122,0.143
1623120,9.561,3.2,0.51122,0.143
1623121,9.503,3.54,0.51122,0.143
1623122,9.047,3.37,0.51122,0.143
1623123,8.507,3.21,0.66142,0.099
1623124,7.873,3.01,0.66142,0.099
1623125,6.997,2.82,0.66142,0.099
1623126,6.66,2.93,0.66142,0.099
1623127,6.12,2.91,0.58407,0.121
1623128,5.065,2.66,0.58407,0.121
1623129,4.157,2.34,0.58407,0.121
1623130,5.125,2.95,0.44342,0.165
1623131,5.007,2.72,0.44342,0.165
1623132,4.496,2.5,0.44342,0.165
1623133,4.169,2.3,0.38107,0.187
1623134,4.606,2.85,0.58407,0.121
1623135,4.509,2.76,0.58407,0.121
1623136,4.147,2.62,0.58407,0.121
1623137,3.9,2.49,0.58407,0.121
1623138,3.458,2.31,0.58407,0.121
1623139,2.802,2.03,0.66142,0.099
1623140,1.817,1.4,0.74256,0.077
1623141,1.332,1.05,0.82667,0.055
1623142,0.965,0.8,1,0.011
1625520,8.546,2.98,0.58407,0.121
1625521,9.571,3.19,0.58407,0.121
1625522,9.511,3.18,0.58407,0.121
1625523,9.442,3.47,0.51122,0.143
1625524,9.035,3.3,0.58407,0.121
1625525,8.567,3.11,0.74256,0.077
1625526,7.858,2.95,0.74256,0.077
1625527,6.755,2.75,0.66142,0.099
1625528,5.812,2.53,0.66142,0.099
1625529,5.764,2.85,0.58407,0.121
1625530,5.316,2.59,0.66142,0.099
1625531,4.344,2.31,0.66142,0.099
1625532,3.762,2,0.66142,0.099
1625533,2.5,1.42,0.66142,0.099
1625534,2.838,1.56,0.58407,0.121
1625535,2.952,1.62,0.51122,0.143
1625536,5.024,2.96,0.51122,0.143
1625537,4.8,2.81,0.51122,0.143
1625538,4.548,2.68,0.51122,0.143
1625539,3.87,2.47,0.58407,0.121
1625540,3.226,2.22,0.58407,0.121
1625541,2.662,1.97,0.66142,0.099
1625542,1.335,1.08,0.82667,0.055
1625543,1.158,0.94,0.91281,0.033
1625544,0.773,0.66,0.91281,0.033
1627925,9.423,3.39,0.58407,0.121
1627926,8.907,3.24,0.58407,0.121
1627927,8.382,3.06,0.74256,0.077
1627928,7.533,2.89,0.74256,0.077
1627929,6.57,2.7,0.66142,0.099
1627930,6.65,2.99,0.66142,0.099
1627931,5.939,2.79,0.66142,0.099
1627932,5.029,2.55,0.66142,0.099
1627933,4.551,2.27,0.66142,0.099
1627934,3.05,1.65,0.66142,0.099
1627935,2.885,1.57,0.58407,0.121
1627936,3.252,1.71,0.58407,0.121
1627937,3.233,1.72,0.51122,0.143
1627938,2.999,1.66,0.51122,0.143
1627939,4.249,2.67,0.58407,0.121
1627940,3.888,2.53,0.58407,0.121
1627941,3.479,2.36,0.58407,0.121
1627942,2.9,2.12,0.66142,0.099
1627943,2.183,1.7,0.74256,0.077
1627944,1.593,1.24,0.82667,0.055
1627945,1.234,0.99,0.82667,0.055
1627946,0.981,0.81,1,0.011
1627947,0.754,0.63,0.91281,0.033
1627948,0.788,0.64,1,0.011
1630328,8.948,3.16,0.66142,0.099
1630329,8.325,3,0.66142,0.099
1630330,7.49,2.84,0.74256,0.077
1630331,6.385,2.64,0.66142,0.099
1630332,6.552,2.97,0.66142,0.099
1630333,5.2,2.41,0.66142,0.099
1630334,2.59,1.36,0.66142,0.099
1630335,3.418,1.72,0.58407,0.121
1630336,3.816,1.99,0.66142,0.099
1630337,4.472,2.17,0.51122,0.143
1630338,3.352,1.75,0.51122,0.143
1630339,4.074,2.25,0.58407,0.121
