"nie_malla_modi_id","sen_slope","sen_slope_per","p_value","tau"
"1649562",-2.119,-0.45,0.82667,-0.055
"1649563",-2.232,-0.52,0.82667,-0.055
"1649564",-1.939,-0.41,0.82667,-0.055
"1649565",-1.741,-0.35,1,-0.011
"1649566",-1.728,-0.35,0.91281,-0.033
"1649567",-1.801,-0.39,0.82667,-0.055
"1649568",-2.741,-0.61,0.82667,-0.055
"1649569",-2.644,-0.58,0.82667,-0.055
"1649570",-2.026,-0.43,0.91281,-0.033
"1649571",-1.966,-0.41,0.91281,-0.033
"1649572",-3.329,-0.73,0.82667,-0.055
"1649573",-4.623,-1.06,0.74256,-0.077
"1649574",-3.331,-0.7,0.91281,-0.033
"1649575",-3.853,-0.81,0.82667,-0.055
"1649576",-3.926,-0.8,0.91281,-0.033
"1649577",-4.43,-0.9,0.91281,-0.033
"1649578",-6.529,-1.44,0.74256,-0.077
"1649579",-7.48,-1.77,0.58407,-0.121
"1649581",-7.771,-1.82,0.58407,-0.121
"1649582",-7.865,-1.83,0.58407,-0.121
"1649583",-7.772,-1.86,0.58407,-0.121
"1649585",-7.949,-1.86,0.58407,-0.121
"1649586",-8.104,-1.84,0.58407,-0.121
"1649587",-7.879,-1.77,0.58407,-0.121
"1649588",-7.099,-1.52,0.66142,-0.099
"1649589",-6.281,-1.28,0.66142,-0.099
"1649590",-6.186,-1.3,0.66142,-0.099
"1649591",-6.817,-1.58,0.66142,-0.099
"1649592",-6.591,-1.58,0.66142,-0.099
"1649593",-5.509,-1.25,0.66142,-0.099
"1649594",-3.413,-0.68,0.74256,-0.077
"1649595",-2.89,-0.58,0.74256,-0.077
"1649596",-2.967,-0.65,0.74256,-0.077
"1649597",-2.887,-0.67,0.66142,-0.099
"1649598",-1.273,-0.26,0.74256,-0.077
"1649599",-4.027,-0.79,0.82667,-0.055
"1649600",-4.455,-0.84,0.82667,-0.055
"1649601",-6.305,-1.21,0.82667,-0.055
"1649602",-7.257,-1.38,0.91281,-0.033
"1649603",-7.041,-1.42,0.91281,-0.033
"1649606",-3.26,-0.74,0.82667,-0.055
"1649607",-5.33,-1.23,0.74256,-0.077
"1649608",-2.615,-0.59,0.82667,-0.055
"1649609",-1.004,-0.21,0.91281,-0.033
"1649610",-0.699,-0.14,1,-0.011
"1649611",-0.871,-0.17,0.82667,-0.055
"1649612",-1.113,-0.22,0.82667,-0.055
"1649613",-2.581,-0.55,0.82667,-0.055
"1649614",-3.973,-0.9,0.82667,-0.055
"1649615",-4.778,-1.17,0.74256,-0.077
"1649616",-3.8,-0.93,0.74256,-0.077
"1649617",-3.636,-0.87,0.74256,-0.077
"1649618",-4.9,-1.1,0.82667,-0.055
"1649619",-4.819,-1.08,0.82667,-0.055
"1649620",-4.779,-1.03,0.82667,-0.055
"1649621",-3.182,-0.67,0.82667,-0.055
