"nie_malla_modi_id","sen_slope_tempsu","sen_slope_per_tempsu","p_value_tempsu","tau_tempsu"
1668859,-0.06,-0.26,0.38107,-0.187
1668860,-0.058,-0.24,0.44342,-0.165
1668861,-0.057,-0.24,0.51122,-0.143
1668862,-0.06,-0.26,0.44342,-0.165
1668863,-0.062,-0.26,0.476,-0.154
1668864,-0.072,-0.3,0.51122,-0.143
1668865,-0.078,-0.32,0.51122,-0.143
1668866,-0.078,-0.31,0.44342,-0.165
1668867,-0.078,-0.31,0.44342,-0.165
1668868,-0.08,-0.33,0.51122,-0.143
1668869,-0.078,-0.33,0.51122,-0.143
1668870,-0.08,-0.33,0.44342,-0.165
1668871,-0.081,-0.32,0.38107,-0.187
1668872,-0.08,-0.32,0.38107,-0.187
1668873,-0.08,-0.31,0.38107,-0.187
1668874,-0.079,-0.31,0.38107,-0.187
1668875,-0.081,-0.31,0.32442,-0.209
1668876,-0.08,-0.3,0.32442,-0.209
1668877,-0.09,-0.34,0.35131,-0.198
1668879,-0.086,-0.32,0.41085,-0.176
1671104,-0.001,0,1,-0.011
1671105,-0.003,-0.01,0.95628,-0.022
1671106,-0.002,-0.01,1,-0.011
1671107,-0.003,-0.01,1,-0.011
1671108,-0.003,-0.01,0.95628,-0.022
1671109,-0.002,-0.01,0.82615,-0.055
1671110,-0.002,-0.01,0.95628,-0.022
1671111,-0.01,-0.04,0.74256,-0.077
1671112,-0.012,-0.05,0.82667,-0.055
1671113,-0.01,-0.04,0.82667,-0.055
1671115,-0.012,-0.06,0.82667,-0.055
1671116,-0.014,-0.07,0.70113,-0.088
1671117,-0.011,-0.06,0.66142,-0.099
1671118,-0.012,-0.06,0.74181,-0.077
1671119,-0.01,-0.05,0.78398,-0.066
1671120,-0.03,-0.16,0.70113,-0.088
1671121,-0.003,-0.01,0.95628,-0.022
1671122,-0.003,-0.01,0.95628,-0.022
1671123,-0.001,-0.01,0.91255,-0.033
1671124,0.005,0.03,1,0.011
1671125,0.007,0.04,1,0.011
1671126,0.012,0.06,1,0.011
1671127,0.017,0.08,1,0.011
1671128,0.018,0.09,0.91281,0.033
1671129,0.017,0.09,0.95628,0.022
1671130,0.016,0.08,0.82667,0.055
1671131,0.017,0.09,0.74256,0.077
1671132,0.02,0.11,0.66142,0.099
1671133,0.03,0.16,0.54644,0.132
1671134,0.042,0.23,0.58407,0.121
1671135,0.044,0.25,0.51122,0.143
1671136,0.052,0.31,0.51122,0.143
1671137,0.052,0.31,0.476,0.154
1671138,0.048,0.29,0.51122,0.143
1671139,0.04,0.26,0.66142,0.099
1671140,0.041,0.26,0.58407,0.121
1671141,0.042,0.26,0.44342,0.165
1671142,0.047,0.28,0.44342,0.165
1671143,0.049,0.28,0.51122,0.143
1671144,0.057,0.31,0.50995,0.143
1671145,0.053,0.31,0.476,0.154
1671146,0.028,0.17,0.66142,0.099
1671147,0.046,0.28,0.38107,0.187
1671148,0.046,0.26,0.58407,0.121
1671149,0.04,0.21,0.66142,0.099
1671150,0.041,0.21,0.66142,0.099
1671151,0.034,0.17,0.66142,0.099
1671152,0.037,0.18,0.78398,0.066
1671153,0.027,0.14,0.66142,0.099
1671154,0.026,0.15,0.74256,0.077
1671155,0.013,0.08,0.74256,0.077
1671156,0.007,0.04,0.70113,0.088
1671157,0,0,1,0
1671158,-0.006,-0.04,0.91281,-0.033
1671159,-0.009,-0.06,0.91281,-0.033
1671160,-0.01,-0.07,0.91281,-0.033
1671161,0.012,0.08,1,0.011
1671162,0.007,0.05,1,0.011
1671163,-0.032,-0.24,0.82667,-0.055
1671164,-0.042,-0.3,0.82667,-0.055
1671165,-0.047,-0.32,0.82667,-0.055
1671166,-0.05,-0.34,0.82667,-0.055
1671167,-0.047,-0.35,0.82667,-0.055
1671168,-0.048,-0.35,0.82667,-0.055
1671169,-0.05,-0.35,0.74256,-0.077
1671170,-0.05,-0.35,0.74256,-0.077
1671171,-0.06,-0.41,0.74256,-0.077
1671172,-0.04,-0.27,0.74256,-0.077
