"nie_malla_modi_id","sen_slope_preau","sen_slope_per_preau","p_value_preau","tau_preau"
1608710,3.482,1.46,0.66142,0.099
1608711,3.878,1.74,0.58407,0.121
1608712,4.008,1.81,0.66142,0.099
1608713,3.681,1.71,0.66142,0.099
1608714,3.729,1.89,0.74256,0.077
1608715,3.616,1.87,0.74256,0.077
1608716,3.127,1.73,0.74256,0.077
1608717,2.67,1.67,0.91281,0.033
1608718,2.874,1.88,0.66142,0.099
1608719,2.51,1.63,0.74256,0.077
1608720,2.55,1.7,0.74256,0.077
1608721,2.274,1.55,0.74256,0.077
1608723,1.735,1.23,0.74256,0.077
1608724,0.992,0.76,1,0.011
1608725,2.03,1.4,1,0.011
1608726,1.58,1.06,0.91281,0.033
1608727,1.595,1.1,1,0.011
1608728,0.297,0.23,1,0.011
1608729,-0.31,-0.25,1,-0.011
1608730,-0.73,-0.62,1,-0.011
1608731,-0.443,-0.39,1,-0.011
1608732,-0.223,-0.2,1,-0.011
1611108,3.393,1.29,0.66142,0.099
1611110,3.082,1.16,0.66142,0.099
1611111,4.33,1.73,0.74256,0.077
1611112,4.28,1.71,0.66142,0.099
1611113,3.705,1.58,0.66142,0.099
1611114,3.681,1.58,0.66142,0.099
1611115,3.79,1.71,0.66142,0.099
1611116,3.917,1.83,0.66142,0.099
1611117,4.041,2,0.74256,0.077
1611118,3.146,1.69,0.74256,0.077
1611119,2.732,1.71,0.74256,0.077
1611120,2.878,1.83,0.74256,0.077
1611121,2.268,1.45,0.74256,0.077
1611122,1.334,0.82,0.74256,0.077
1611123,2.22,1.45,0.74256,0.077
1611124,1.563,1.08,0.74256,0.077
1611125,1.46,1.03,0.74256,0.077
1611126,0.928,0.7,1,0.011
1611127,1.87,1.31,1,0.011
1611128,1.135,0.75,0.91281,0.033
1611129,1.235,0.85,1,0.011
1611130,1.293,0.94,1,0.011
1611131,1.047,0.77,1,0.011
1611132,-0.752,-0.63,1,-0.011
1611133,-0.462,-0.4,1,-0.011
1611134,-0.192,-0.17,0.91281,-0.033
1611135,-0.281,-0.25,0.91281,-0.033
1613509,3.315,1.28,0.66142,0.099
1613510,3.088,1.16,0.66142,0.099
1613511,2.893,1.06,0.66142,0.099
1613512,2.87,1.07,0.66142,0.099
1613513,4.403,1.7,0.74256,0.077
1613514,4.085,1.62,0.66142,0.099
1613515,3.808,1.57,0.66142,0.099
1613516,3.787,1.58,0.66142,0.099
1613517,3.849,1.72,0.66142,0.099
1613518,3.976,1.86,0.66142,0.099
1613519,3.963,2,0.74256,0.077
1613520,2.69,1.53,0.74256,0.077
1613521,2.823,1.82,0.66142,0.099
1613522,2.597,1.62,0.82667,0.055
1613523,1.766,1.08,0.91281,0.033
1613524,1.3,0.78,0.91281,0.033
1613525,1.94,1.23,0.74256,0.077
1613526,1.569,1.01,0.74256,0.077
1613527,1.545,1.06,0.74256,0.077
1613528,1.296,0.95,1,0.011
1613529,1.475,1.02,1,0.011
1613530,1.245,0.82,0.91281,0.033
1613531,1.662,1.07,0.91281,0.033
1613532,0.56,0.37,0.91281,0.033
1613533,-0.159,-0.12,1,-0.011
1613534,0.291,0.22,1,0.011
1613535,-0.502,-0.43,1,-0.011
1613536,-0.235,-0.21,0.91281,-0.033
1613537,-0.251,-0.22,0.91281,-0.033
1613538,-0.497,-0.42,1,-0.011
1615910,3.173,1.23,0.66142,0.099
1615911,2.943,1.1,0.66142,0.099
1615912,2.775,1.02,0.66142,0.099
1615913,3.62,1.3,0.66142,0.099
1615914,3.88,1.39,0.66142,0.099
1615915,4.19,1.6,0.74256,0.077
1615916,3.76,1.43,0.66142,0.099
1615917,3.773,1.48,0.66142,0.099
1615918,3.867,1.58,0.66142,0.099
1615919,3.95,1.72,0.66142,0.099
1615920,3.98,1.93,0.74256,0.077
1615921,3.574,1.86,0.66142,0.099
1615922,2.644,1.42,0.74256,0.077
1615923,2.2,1.24,0.74256,0.077
1615924,2.02,1.19,0.91281,0.033
1615925,1.736,1.08,0.82667,0.055
1615926,1.385,0.83,0.91281,0.033
1615927,1.675,1,0.82667,0.055
1615928,1.705,1.08,0.74256,0.077
1615929,1.795,1.26,1,0.011
1615930,1.232,0.9,1,0.011
1615931,0.925,0.62,0.91281,0.033
1615932,1.718,1.11,0.91281,0.033
1615933,1.595,0.99,1,0.011
1615934,0.52,0.35,0.91281,0.033
1615935,0.16,0.11,1,0.011
1615936,0.446,0.33,1,0.011
1615937,-0.72,-0.6,1,-0.011
1615938,-0.393,-0.34,1,-0.011
1615939,-0.347,-0.3,1,-0.011
1615940,-0.3,-0.26,1,-0.011
1618310,3.272,1.35,0.66142,0.099
1618311,3.098,1.24,0.74256,0.077
1618312,3.027,1.21,0.74256,0.077
1618313,2.877,1.12,0.66142,0.099
1618314,2.655,1,0.66142,0.099
1618315,3.45,1.24,0.66142,0.099
1618316,4.48,1.56,0.74256,0.077
1618317,3.928,1.47,0.74256,0.077
1618318,3.756,1.41,0.66142,0.099
1618319,3.871,1.48,0.66142,0.099
1618320,3.956,1.59,0.66142,0.099
1618321,3.969,1.76,0.66142,0.099
1618322,4.004,1.99,0.74256,0.077
1618323,3.66,1.75,0.66142,0.099
1618324,2.309,1.27,0.74256,0.077
1618325,2.161,1.16,0.74256,0.077
1618326,1.53,0.85,0.91281,0.033
1618327,1.375,0.78,0.91281,0.033
1618328,1.49,0.88,0.91281,0.033
1618329,1.96,1.12,1,0.011
1618330,1.494,0.89,0.91281,0.033
1618331,1.345,0.92,1,0.011
1618332,0.925,0.62,0.91281,0.033
1618333,1.16,0.76,0.91281,0.033
1618334,1.662,1.05,1,0.011
1618335,1.525,0.94,1,0.011
1618336,1.395,0.86,1,0.011
1618337,1.23,0.8,1,0.011
1618338,0.08,0.06,1,0.011
1618339,0.16,0.12,1,0.011
1618340,-0.221,-0.17,1,-0.011
1620712,2.798,1.12,0.74256,0.077
1620713,2.553,0.97,0.66142,0.099
1620714,2.523,0.95,0.66142,0.099
1620715,2.59,0.95,0.66142,0.099
1620716,3.37,1.21,0.74256,0.077
1620717,3.63,1.3,0.74256,0.077
1620718,3.57,1.28,0.74256,0.077
1620719,3.92,1.51,0.66142,0.099
1620720,3.781,1.44,0.66142,0.099
1620721,3.929,1.5,0.66142,0.099
1620722,3.987,1.62,0.66142,0.099
1620723,4.069,1.76,0.66142,0.099
1620724,4.197,1.89,0.66142,0.099
1620725,3.27,1.63,0.74256,0.077
1620726,2.206,1.18,0.74256,0.077
1620727,2.194,1.17,0.74256,0.077
1620728,1.39,0.75,0.91281,0.033
1620729,1.72,0.92,0.91281,0.033
1620730,1.635,0.95,0.91281,0.033
1620731,2.176,1.18,1,0.011
1620732,0.545,0.34,1,0.011
1620733,1.18,0.76,0.91281,0.033
1620734,1.41,0.91,0.91281,0.033
1620735,1.4,0.88,1,0.011
1620736,1.56,0.97,1,0.011
1620737,1.481,0.95,1,0.011
1620738,0.04,0.03,1,0.011
1620739,0.19,0.14,1,0.011
1620740,0.162,0.12,1,0.011
1623115,2.373,0.92,0.74256,0.077
1623116,2.183,0.82,0.66142,0.099
1623117,3.77,1.34,0.74256,0.077
1623118,3.6,1.24,0.74256,0.077
1623119,2.31,0.78,0.74256,0.077
1623120,2.737,0.93,0.74256,0.077
1623121,3.716,1.39,0.66142,0.099
1623122,3.871,1.45,0.66142,0.099
1623123,4.001,1.51,0.66142,0.099
1623124,4.151,1.59,0.58407,0.121
1623125,4.23,1.71,0.58407,0.121
1623126,4.28,1.89,0.66142,0.099
1623127,3.32,1.58,0.66142,0.099
1623128,2.054,1.09,0.74256,0.077
1623129,2.31,1.31,0.74256,0.077
1623130,1.33,0.74,0.91281,0.033
1623131,1.925,1.01,0.91281,0.033
1623132,2.095,1.12,1,0.011
1623133,2.133,1.13,1,0.011
1623134,-0.275,-0.16,1,-0.011
1623135,-0.575,-0.33,1,-0.011
1623136,-0.44,-0.26,1,-0.011
1623137,0.085,0.05,1,0.011
1623138,1.604,1.01,1,0.011
1623139,0.23,0.16,1,0.011
1623140,0.54,0.4,1,0.011
1623141,0.029,0.02,1,0.011
1623142,-0.772,-0.61,1,-0.011
1625520,3.98,1.41,0.74256,0.077
1625521,2.593,0.87,0.74256,0.077
1625522,2.757,0.93,0.74256,0.077
1625523,3.806,1.4,0.66142,0.099
1625524,3.959,1.45,0.66142,0.099
1625525,4.137,1.5,0.58407,0.121
1625526,4.231,1.59,0.58407,0.121
1625527,4.267,1.74,0.58407,0.121
1625528,4.2,1.83,0.58407,0.121
1625529,2.856,1.42,0.74256,0.077
1625530,2.097,1.02,0.66142,0.099
1625531,2.279,1.21,0.66142,0.099
1625532,1.35,0.72,0.74256,0.077
1625533,2.195,1.21,0.82667,0.055
1625534,2.36,1.26,0.82667,0.055
1625535,2.89,1.53,0.91281,0.033
1625536,-0.905,-0.5,1,-0.011
1625537,-1.03,-0.57,1,-0.011
1625538,-0.72,-0.4,1,-0.011
1625539,0.105,0.06,1,0.011
1625540,0.535,0.35,1,0.011
1625541,0.35,0.25,1,0.011
1625542,-0.328,-0.25,1,-0.011
1625543,-0.553,-0.43,1,-0.011
1625544,-0.735,-0.61,1,-0.011
1627925,3.891,1.4,0.66142,0.099
1627926,4.023,1.46,0.58407,0.121
1627927,4.171,1.52,0.58407,0.121
1627928,4.247,1.63,0.58407,0.121
1627929,4.297,1.77,0.58407,0.121
1627930,3.843,1.73,0.66142,0.099
1627931,2.891,1.36,0.58407,0.121
1627932,2.028,1.03,0.78398,0.066
1627933,2.191,1.09,0.66142,0.099
1627934,1.634,0.86,0.91281,0.033
1627935,2.41,1.27,0.82667,0.055
1627936,2.05,1.04,0.91281,0.033
1627937,2.44,1.25,0.91281,0.033
1627938,3.12,1.66,0.91281,0.033
1627939,-0.455,-0.27,1,-0.011
1627940,0.13,0.08,1,0.011
1627941,1.1,0.71,1,0.011
1627942,0.405,0.28,1,0.011
1627943,0.32,0.24,1,0.011
1627944,0.331,0.25,1,0.011
1627945,-0.381,-0.29,1,-0.011
1627946,-0.847,-0.67,1,-0.011
1627947,-0.823,-0.67,1,-0.011
1627948,-0.797,-0.63,1,-0.011
1630328,4.134,1.46,0.58407,0.121
1630329,4.251,1.53,0.58407,0.121
1630330,4.307,1.63,0.58407,0.121
1630331,4.333,1.79,0.58407,0.121
1630332,3.667,1.67,0.66142,0.099
1630333,2.807,1.3,0.58407,0.121
1630334,1.55,0.79,0.74256,0.077
1630335,2.07,1.01,0.91281,0.033
1630336,2.15,1.09,0.91281,0.033
1630337,2.85,1.34,0.91281,0.033
1630338,1.92,0.97,0.91281,0.033
1630339,-0.73,-0.38,1,-0.011
1630340,1.05,0.59,1,0.011
1630341,1.536,0.97,1,0.011
1630342,1.465,0.95,0.91281,0.033
1630343,1.87,1.25,0.91281,0.033
1630344,0.468,0.34,1,0.011
1630345,0.12,0.08,1,0.011
1630346,-0.21,-0.14,1,-0.011
1630347,0.255,0.19,1,0.011
1630348,-0.586,-0.46,1,-0.011
1630349,-0.064,-0.05,1,-0.011
1632730,4.224,1.46,0.58407,0.121
1632731,4.244,1.56,0.58407,0.121
1632732,4.296,1.69,0.58407,0.121
1632733,4.37,1.81,0.58407,0.121
1632734,4.327,1.82,0.58407,0.121
1632735,1.825,0.86,0.82667,0.055
1632736,1.895,0.92,0.82667,0.055
1632737,2.37,1.11,0.91281,0.033
1632738,2.61,1.23,0.91281,0.033
1632739,3.05,1.39,0.91281,0.033
1632740,2.71,1.25,0.91281,0.033
1632741,-0.59,-0.32,1,-0.011
1632742,0.93,0.53,1,0.011
1632743,1.582,0.92,1,0.011
1632744,1.517,0.92,1,0.011
1632745,1.455,0.89,1,0.011
1632746,1.381,0.89,0.91281,0.033
1632747,1.324,0.82,0.91281,0.033
1632748,1.77,1.15,0.91281,0.033
1632749,-0.3,-0.21,1,-0.011
1632750,0,0,1,0.011
1632754,-0.808,-0.66,1,-0.011
1632755,-0.966,-0.77,1,-0.011
1632756,-0.57,-0.48,1,-0.011
1632775,-1.447,-1.21,0.91281,-0.033
1635130,3.904,1.41,0.66142,0.099
1635131,4.093,1.44,0.58407,0.121
1635132,4.236,1.49,0.58407,0.121
1635133,4.333,1.56,0.58407,0.121
1635134,4.354,1.69,0.58407,0.121
1635135,4.209,1.64,0.58407,0.121
1635136,2.001,0.85,0.82667,0.055
1635137,2.08,0.95,0.82667,0.055
1635138,2.15,1.01,0.82667,0.055
1635139,2.562,1.15,0.91281,0.033
1635140,2.68,1.19,0.91281,0.033
1635141,2.837,1.25,0.91281,0.033
1635142,-0.345,-0.17,1,-0.011
1635143,-0.6,-0.33,1,-0.011
1635144,0.02,0.01,1,0.011
1635145,0.07,0.04,1,0.011
1635146,0.62,0.34,1,0.011
1635147,1.528,0.89,1,0.011
1635148,1.454,0.85,1,0.011
1635149,1.396,0.84,1,0.011
1635150,1.49,0.95,0.91281,0.033
1635151,1.05,0.7,0.91281,0.033
1635152,-1.02,-0.74,1,-0.011
1635154,-1.132,-0.93,0.91281,-0.033
1635155,-1.044,-0.84,0.91281,-0.033
1635156,-0.844,-0.66,1,-0.011
1635157,-0.314,-0.24,1,-0.011
1635158,-1.083,-0.87,1,-0.011
1635169,-1.354,-1.12,0.91281,-0.033
1635170,-1.483,-1.23,0.91281,-0.033
1635174,-1.325,-1.1,0.91281,-0.033
1635175,-1.377,-1.13,0.91281,-0.033
1635176,-1.407,-1.15,0.91281,-0.033
1635177,-0.951,-0.75,0.91281,-0.033
1635178,-1.276,-1.04,0.91281,-0.033
1635180,-0.68,-0.54,0.91281,-0.033
1635181,-0.297,-0.23,1,-0.011
1635184,-0.87,-0.7,0.91281,-0.033
1635185,-0.92,-0.74,0.91281,-0.033
1635208,-1.803,-1.5,0.66142,-0.099
1635209,-1.814,-1.53,0.66142,-0.099
1635210,-1.916,-1.66,0.66142,-0.099
1635211,-1.896,-1.67,0.66142,-0.099
1635212,-1.871,-1.67,0.66142,-0.099
1635213,-1.835,-1.7,0.51122,-0.143
1637531,4.2,1.46,0.74256,0.077
1637532,3.907,1.45,0.66142,0.099
1637533,4.073,1.48,0.58407,0.121
1637534,4.204,1.54,0.58407,0.121
1637535,4.339,1.59,0.58407,0.121
1637536,3.98,1.45,0.58407,0.121
1637537,1.617,0.64,0.91281,0.033
1637538,1.892,0.81,0.82667,0.055
1637539,2.097,0.95,0.82667,0.055
1637540,2.253,1.03,0.82667,0.055
1637541,2.197,0.95,0.82667,0.055
1637542,2.308,0.99,0.91281,0.033
1637543,2.418,1.02,0.91281,0.033
1637544,-0.154,-0.07,1,-0.011
1637545,-0.472,-0.24,1,-0.011
1637546,-0.593,-0.31,1,-0.011
1637547,-0.634,-0.32,1,-0.011
1637548,-0.4,-0.21,1,-0.011
1637549,1.07,0.6,1,0.011
1637550,1.533,0.9,1,0.011
1637551,1.463,0.91,1,0.011
1637552,1.419,0.9,0.91281,0.033
1637553,1.344,0.9,0.91281,0.033
1637554,-0.71,-0.52,1,-0.011
1637555,-1.14,-0.86,1,-0.011
1637556,-0.97,-0.74,0.91281,-0.033
1637557,-1.14,-0.84,1,-0.011
1637558,-1.185,-0.86,1,-0.011
1637559,-1.06,-0.78,1,-0.011
1637560,-0.8,-0.6,0.91281,-0.033
1637566,0.427,0.33,1,0.011
1637567,-0.395,-0.28,1,-0.011
1637571,-0.731,-0.58,0.91281,-0.033
1637576,-1.365,-1.09,0.91281,-0.033
1637577,-0.754,-0.58,0.91281,-0.033
1637578,-0.585,-0.45,0.91281,-0.033
1637579,-0.327,-0.24,1,-0.011
1637580,-0.513,-0.39,0.91281,-0.033
1637584,-0.207,-0.15,1,-0.011
1637585,-0.101,-0.07,1,-0.011
1637586,0.306,0.22,1,0.011
1637587,-0.579,-0.44,1,-0.011
1637594,-1.04,-0.66,0.82667,-0.055
1637607,-1.797,-1.34,0.58407,-0.121
1637608,-1.993,-1.57,0.58407,-0.121
1637609,-2,-1.64,0.58407,-0.121
1637610,-1.842,-1.52,0.66142,-0.099
1637611,-1.951,-1.67,0.66142,-0.099
1637612,-1.504,-1.26,0.66142,-0.099
1637613,-1.574,-1.33,0.66142,-0.099
1637614,-1.835,-1.59,0.66142,-0.099
1637615,-1.896,-1.7,0.58407,-0.121
1637616,-1.54,-1.42,0.58407,-0.121
1637617,-1.687,-1.61,0.66142,-0.099
1637618,-1.763,-1.7,0.66142,-0.099
1639929,1.697,0.68,0.82667,0.055
1639930,1.545,0.59,0.82667,0.055
1639933,2.91,1.04,0.74256,0.077
1639934,3.826,1.52,0.66142,0.099
1639935,3.991,1.56,0.66142,0.099
1639936,4.136,1.6,0.58407,0.121
1639937,2.19,0.84,0.82667,0.055
1639938,1.48,0.56,0.82667,0.055
1639939,1.441,0.56,0.91281,0.033
1639940,1.647,0.67,0.91281,0.033
1639941,1.507,0.63,0.82667,0.055
1639942,1.662,0.7,0.82667,0.055
1639943,1.773,0.74,0.82667,0.055
1639944,1.843,0.75,0.91281,0.033
1639945,0.396,0.18,1,0.011
1639946,0.023,0.01,1,0.011
1639947,-0.102,-0.05,1,-0.011
1639948,-0.191,-0.09,1,-0.011
1639949,-0.445,-0.22,1,-0.011
1639950,-0.723,-0.38,1,-0.011
1639951,0.6,0.33,1,0.011
1639952,1.605,0.95,1,0.011
1639953,1.549,0.97,1,0.011
1639954,1.496,1.01,0.91281,0.033
1639955,1.14,0.79,0.91281,0.033
1639956,-1.01,-0.76,1,-0.011
1639957,-1.02,-0.79,0.91281,-0.033
1639958,-0.59,-0.42,1,-0.011
1639959,0,0,1,0
1639960,0.25,0.17,1,0.011
1639961,-1.005,-0.75,0.91281,-0.033
1639964,-1.204,-0.93,0.91281,-0.033
1639966,-0.503,-0.38,0.91281,-0.033
1639967,-0.285,-0.22,1,-0.011
1639968,0.4,0.3,1,0.011
1639969,0.535,0.39,1,0.011
1639972,-0.57,-0.43,1,-0.011
1639973,-0.51,-0.39,0.91281,-0.033
1639978,-0.559,-0.42,0.91281,-0.033
1639979,0.069,0.05,1,0.011
1639980,0.06,0.04,1,0.011
1639981,0.17,0.12,1,0.011
1639982,-0.51,-0.39,0.91281,-0.033
1639985,0.59,0.42,1,0.011
1639986,0.43,0.28,0.91281,0.033
1639987,0.147,0.1,1,0.011
1639988,-0.056,-0.04,1,-0.011
1639991,-0.62,-0.48,1,-0.011
1639992,-0.22,-0.17,1,-0.011
1639993,-0.683,-0.48,0.91281,-0.033
1639994,-0.851,-0.59,0.91281,-0.033
1639995,-0.96,-0.62,0.91281,-0.033
1640007,-1.975,-1.41,0.66142,-0.099
1640008,-1.54,-1.16,0.66142,-0.099
1640009,-1.81,-1.42,0.58407,-0.121
1640010,-2.047,-1.64,0.51122,-0.143
1640011,-2.013,-1.63,0.58407,-0.121
1640012,-1.93,-1.51,0.51122,-0.143
1640013,-1.785,-1.45,0.66142,-0.099
1640014,-1.542,-1.28,0.66142,-0.099
1640015,-1.822,-1.42,0.66142,-0.099
1640016,-1.413,-1.16,0.66142,-0.099
1640017,-1.329,-1.12,0.66142,-0.099
1640018,-1.829,-1.63,0.58407,-0.121
1640019,-1.596,-1.49,0.58407,-0.121
1640020,-1.7,-1.62,0.66142,-0.099
1640021,-1.78,-1.73,0.66142,-0.099
1640022,-1.906,-1.9,0.66142,-0.099
1640023,-1.927,-1.93,0.66142,-0.099
1642331,1.423,0.54,0.82667,0.055
1642332,2.35,0.84,0.74256,0.077
1642333,1.48,0.54,0.74256,0.077
1642334,1.453,0.55,0.74256,0.077
1642335,1.537,0.59,0.82667,0.055
1642336,3.774,1.59,0.66142,0.099
1642337,3.894,1.64,0.66142,0.099
1642338,1.157,0.48,0.74256,0.077
1642339,1.166,0.47,0.91281,0.033
1642340,1.143,0.44,0.91281,0.033
1642341,1.214,0.46,0.91281,0.033
1642342,1.377,0.53,0.91281,0.033
1642343,1.529,0.6,0.91281,0.033
1642344,1.225,0.5,0.91281,0.033
1642345,1.257,0.5,0.82667,0.055
1642346,1.35,0.53,0.82667,0.055
1642347,0.708,0.3,1,0.011
1642348,0.474,0.21,1,0.011
1642349,0.185,0.09,1,0.011
1642350,-0.094,-0.05,1,-0.011
1642351,-0.4,-0.2,1,-0.011
1642352,-0.721,-0.39,1,-0.011
1642353,0.84,0.49,1,0.011
1642354,1.673,1.03,1,0.011
1642355,1.641,1.04,1,0.011
1642356,1.607,1.06,1,0.011
1642357,1.305,0.89,0.91281,0.033
1642358,0.98,0.69,1,0.011
1642359,0.04,0.03,1,0.011
1642360,1.37,0.92,0.91281,0.033
1642361,1.445,0.93,0.91281,0.033
1642362,0.41,0.28,1,0.011
1642363,-0.97,-0.71,1,-0.011
1642364,-1.17,-0.86,0.91281,-0.033
1642365,-1.01,-0.75,0.91281,-0.033
1642366,-0.93,-0.67,0.91281,-0.033
1642367,-0.706,-0.53,0.91281,-0.033
1642368,-0.957,-0.7,0.82667,-0.055
1642369,-0.8,-0.55,0.82667,-0.055
1642370,-0.71,-0.49,0.91281,-0.033
1642371,-0.61,-0.42,0.91281,-0.033
1642372,-0.42,-0.27,1,-0.011
1642374,0.28,0.19,1,0.011
1642375,-0.483,-0.37,0.91281,-0.033
1642377,-1.36,-1.08,0.91281,-0.033
1642381,-0.324,-0.23,1,-0.011
1642382,0.005,0,1,0.011
1642383,0.06,0.04,1,0.011
1642384,0.515,0.36,1,0.011
1642385,-0.253,-0.19,0.91281,-0.033
1642387,0.288,0.21,1,0.011
1642388,0.58,0.38,0.91281,0.033
1642389,0.375,0.25,0.91281,0.033
1642390,1.251,0.86,0.91281,0.033
1642392,0.207,0.15,1,0.011
1642393,0.585,0.41,1,0.011
1642394,-0.479,-0.31,1,-0.011
1642395,-0.734,-0.51,0.91281,-0.033
1642396,-0.86,-0.56,0.91281,-0.033
1642406,-0.672,-0.4,0.74256,-0.077
1642407,-1.339,-0.88,0.74256,-0.077
1642408,-1.322,-0.87,0.66142,-0.099
1642409,-1.318,-0.87,0.66142,-0.099
1642410,-1.718,-1.26,0.58407,-0.121
1642411,-1.994,-1.54,0.58407,-0.121
1642412,-1.983,-1.56,0.58407,-0.121
1642413,-1.946,-1.42,0.66142,-0.099
1642414,-1.909,-1.42,0.66142,-0.099
1642415,-1.867,-1.41,0.74256,-0.077
1642416,-1.834,-1.41,0.58407,-0.121
1642417,-1.811,-1.34,0.66142,-0.099
1642418,-1.504,-1.22,0.66142,-0.099
1642419,-1.486,-1.2,0.66142,-0.099
1642420,-1.359,-1.15,0.66142,-0.099
1642421,-1.803,-1.63,0.66142,-0.099
1642422,-1.583,-1.48,0.6217,-0.11
1642423,-1.717,-1.65,0.66142,-0.099
1642424,-1.809,-1.76,0.66142,-0.099
1642425,-1.864,-1.85,0.66142,-0.099
1642426,-1.897,-1.9,0.66142,-0.099
1642427,-1.949,-1.97,0.66142,-0.099
1642428,-2.011,-2.07,0.66142,-0.099
1644734,3.85,1.33,0.82667,0.055
1644735,4.57,1.56,0.82667,0.055
1644736,2.9,1.03,0.74256,0.077
1644737,3.08,1.09,0.74256,0.077
1644738,3.91,1.56,0.66142,0.099
1644739,1.5,0.61,0.74256,0.077
1644740,0.955,0.39,0.78398,0.066
1644741,1.025,0.42,0.91281,0.033
1644742,1.069,0.43,0.91281,0.033
1644743,1.121,0.44,0.91281,0.033
1644744,1.156,0.44,0.91281,0.033
1644745,1.219,0.45,0.91281,0.033
1644746,1.386,0.53,0.91281,0.033
1644747,1.076,0.4,0.91281,0.033
1644748,0.783,0.29,0.91281,0.033
1644749,0.353,0.14,1,0.011
1644750,0.646,0.27,1,0.011
1644751,0.394,0.18,1,0.011
1644752,-0.029,-0.01,1,-0.011
1644753,-0.266,-0.14,1,-0.011
1644754,-0.523,-0.28,1,-0.011
1644755,-0.5,-0.28,1,-0.011
1644756,0.88,0.52,1,0.011
1644757,1.724,1.12,1,0.011
