"nie_malla_modi_id","sen_slope_pnsp","sen_slope_per_pnsp","p_value_pnsp","tau_pnsp"
1611125,0,0,0.10176,0.209
1611126,0,0,0.32106,0.099
1611127,0,0,0.46706,0.099
1611128,0,0,0.52005,-0.121
1611129,0,0,0.53326,-0.11
1611130,0,0,0.46706,0.099
1611131,0,0,0.46706,0.099
1611132,0,0,0.32106,0.099
1611133,0,0,0.32106,0.099
1611134,0,NA,NA,0
1611135,0,NA,NA,0
1613509,0,0,0.91056,0.033
1613510,0,0,0.82441,0.055
1613511,0,0,1,0
1613512,0.004,0.06,0.65722,0.099
1613513,-0.18,-1.3,0.78313,-0.066
1613514,0,0,1,0
1613515,0,0,0.9561,0.022
1613516,0,0,0.9561,0.022
1613517,0,0,0.86368,0.044
1613518,0,0,0.51784,0.132
1613519,0,0,0.62797,0.088
1613520,0,0,0.10176,0.209
1613521,0,0,0.10176,0.209
1613522,0,0,0.10176,0.209
1613523,0,0,0.19054,0.198
1613524,0,0,0.72924,0.066
1613525,0,0,0.19054,0.198
1613526,0,0,0.19054,0.198
1613527,0,0,0.10176,0.209
1613528,0,0,0.46706,0.099
1613529,0,0,0.93862,-0.022
1613530,0,0,0.52005,-0.121
1613531,0,0,0.44471,-0.154
1613532,0,0,0.22211,-0.231
1613533,0,0,0.32106,0.099
1613534,0,0,0.46706,0.099
1613535,0,0,0.32106,0.099
1613536,0,NA,NA,0
1613537,0,NA,NA,0
1613538,0,0,0.32106,0.099
1615910,0,0,1,-0.011
1615911,0,0,0.82441,0.055
1615912,0,0,0.9561,0.022
1615913,0.036,0.29,0.78313,0.066
1615914,0,0,0.9561,0.022
1615915,-0.056,-0.34,0.86883,-0.044
1615916,-0.045,-0.25,0.86883,-0.044
1615917,-0.031,-0.21,0.86883,-0.044
1615918,-0.053,-0.47,0.86883,-0.044
1615919,0.001,0.03,0.73927,0.077
1615920,0,0,0.83548,0.044
1615921,0,0,0.14347,0.22
1615922,0,0,0.14347,0.22
1615923,0,0,0.10176,0.209
1615924,0,0,0.19054,0.198
1615925,0,0,0.10176,0.209
1615926,0,0,0.72924,0.066
1615927,0,0,0.69953,0.077
1615928,0,0,0.19054,0.198
1615929,0,0,0.46706,0.099
1615930,0,0,0.46706,0.099
1615931,0,0,0.52005,-0.121
1615932,0,0,0.44471,-0.154
1615933,0,0,0.86598,-0.044
1615934,0,0,0.22211,-0.231
1615935,0,0,0.53326,-0.11
1615936,0,0,0.46706,0.099
1615937,0,0,0.32106,0.099
1615938,0,0,0.32106,0.099
1615939,0,0,0.32106,0.099
1615940,0,0,0.32106,0.099
1618310,0,0,0.81377,-0.055
1618311,0,0,0.60651,-0.11
1618312,0,0,0.68871,-0.088
1618313,0,0,0.91056,-0.033
1618314,0,0,1,0.011
1618315,0,0,0.9561,0.022
1618316,-0.354,-2.01,0.78313,-0.066
1618317,0,0,1,0
