"nie_malla_modi_id","sen_slope_prem06","sen_slope_per_prem06","p_value_prem06","tau_prem06"
1712060,0.937,13.11,0.0627,0.385
1712061,1.05,13.68,0.12531,0.319
1712062,1.081,13.48,0.13878,0.308
1712063,1.129,13.55,0.18889,0.275
1712064,1.146,13.8,0.11184,0.33
1712065,1.124,13.81,0.05499,0.396
1712066,1.106,13.8,0.0798,0.363
1712067,1.05,13.55,0.07041,0.374
1712068,1.03,13.87,0.0892,0.352
1712069,0.911,12.96,0.04874,0.407
1712070,0.872,12.37,0.10052,0.341
1712071,1.018,13.36,0.12531,0.319
1712072,1.053,13.37,0.12531,0.319
1712073,1.109,13.42,0.18889,0.275
1712074,1.212,13.81,0.27356,0.231
1712075,1.117,13.1,0.27356,0.231
1712076,0.993,11.61,0.32442,0.209
1712077,0.859,10.07,0.29754,0.22
1712078,0.783,9.14,0.44342,0.165
1712079,0.737,8.62,0.32442,0.209
1712080,0.59,6.85,0.32442,0.209
1712081,0.463,5.5,0.38107,0.187
1712082,0.395,4.86,0.51122,0.143
1712083,0.38,4.46,0.58407,0.121
1712084,0.318,3.85,0.58407,0.121
1712085,0.298,3.44,0.82667,0.055
1712086,0.167,1.92,0.82667,0.055
1712087,0.294,3.34,0.74256,0.077
1712088,0.038,0.44,0.82667,0.055
1712089,0.023,0.26,1,0.011
1712090,0.04,0.46,0.91281,0.033
1712091,0.085,0.97,0.82667,0.055
1712092,0.08,0.94,0.74256,0.077
1712093,0.2,2.42,0.58407,0.121
1712094,0.07,0.86,0.54644,0.132
1712095,0.038,0.49,0.54483,0.132
1712096,0.028,0.37,0.5791,0.121
1712097,0.031,0.45,0.5791,0.121
1712098,0.031,0.47,0.5791,0.121
1712099,0.028,0.37,0.65722,0.099
1712100,0.028,0.38,0.50564,0.143
1712101,0.037,0.52,0.50564,0.143
1712102,0.083,1.24,0.54483,0.132
1712103,0.146,2.43,0.47422,0.154
1712104,0.11,1.86,0.47422,0.154
1712105,0.05,0.84,0.54483,0.132
1712106,0.025,0.42,0.78313,0.066
1712107,0.024,0.42,0.78313,0.066
1712108,0.024,0.43,0.78313,0.066
1712109,0.03,0.6,0.69999,0.088
1712110,0.03,0.58,0.69999,0.088
1712111,0.075,1.43,0.62029,0.11
1712112,0.107,2.07,0.62029,0.11
1712113,0.131,2.66,0.47422,0.154
1712114,0.153,3.06,0.40896,0.176
1712115,0.203,4.21,0.47422,0.154
1712116,0.174,3.65,0.40896,0.176
1712117,0.094,1.95,0.40896,0.176
1712118,0.025,0.52,0.40896,0.176
1712119,0.057,1.22,0.31806,0.209
1712120,0.07,1.51,0.26131,0.231
1714333,-0.268,-2.43,0.58407,-0.121
1714334,-0.303,-2.7,0.6217,-0.11
1714335,-0.329,-2.91,0.54644,-0.132
1714336,-0.286,-2.41,0.54644,-0.132
1714337,-0.302,-2.52,0.54644,-0.132
1714338,-0.374,-3.1,0.51122,-0.143
1714339,-0.295,-2.5,0.58407,-0.121
1714340,-0.35,-2.96,0.58407,-0.121
1714341,-0.43,-3.48,0.58407,-0.121
1714342,-0.382,-3.12,0.58407,-0.121
1714343,-0.405,-3.23,0.66142,-0.099
1714344,-0.418,-3.28,0.66142,-0.099
1714345,-0.435,-3.36,0.66142,-0.099
1714346,-0.452,-3.56,0.58407,-0.121
1714347,-0.457,-3.94,0.51122,-0.143
1714348,-0.443,-3.73,0.51122,-0.143
1714349,-0.28,-2.27,0.58407,-0.121
1714350,-0.24,-1.87,0.6217,-0.11
1714351,-0.213,-1.72,0.44342,-0.165
1714352,-0.214,-1.69,0.51122,-0.143
1714353,-0.208,-1.6,0.54644,-0.132
1714354,-0.2,-1.51,0.70113,-0.088
1714355,-0.1,-0.74,0.70113,-0.088
1714356,-0.1,-0.71,0.91281,-0.033
1714357,-0.14,-0.97,0.95628,-0.022
1714358,-0.02,-0.14,0.95628,-0.022
1714359,0,0,1,0
1714360,0,0,1,0
1714361,0,0,1,0
1714362,0,0,1,0
1714363,-0.01,-0.06,0.95628,-0.022
1714364,-0.029,-0.18,0.95628,-0.022
1714365,0,0,1,0
1714366,-0.12,-0.7,0.86935,-0.044
1714367,-0.159,-0.96,0.78398,-0.066
1714368,-0.155,-0.92,0.70113,-0.088
1714369,-0.151,-0.89,0.70113,-0.088
1714370,-0.147,-0.88,0.78398,-0.066
1714371,-0.143,-0.86,0.78398,-0.066
1714372,-0.139,-0.8,0.70113,-0.088
1714373,-0.135,-0.81,0.70113,-0.088
1714374,-0.231,-1.39,0.70113,-0.088
1714375,-0.321,-1.92,0.6217,-0.11
1714376,-0.287,-1.81,0.6217,-0.11
1714377,-0.285,-1.85,0.6217,-0.11
1714378,-0.32,-2.08,0.6217,-0.11
1714379,-0.302,-2.02,0.6217,-0.11
1714380,-0.3,-2.02,0.6217,-0.11
1714381,-0.295,-1.95,0.6217,-0.11
1714382,-0.36,-2.32,0.6217,-0.11
1714383,-0.338,-2.22,0.6217,-0.11
1714384,-0.282,-2.02,0.6217,-0.11
1714385,-0.275,-2.02,0.6217,-0.11
